Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle,driver_demands.brake
1.43371E-06,33.9069,-4.99808E-06,-1.89E-10,0,0,1.46536E-06,0,0,0,0
2.62052E-06,33.90887738,-4.99106E-06,-3.856E-09,2.843218529,-0.000565807,2.33883E-06,0.000563859,4.939E-09,0.00098506,0
5.3531E-06,33.90768506,-4.95807E-06,-2.2535E-08,2.504136129,-0.000498329,2.23466E-06,0.000496365,6.55375E-06,0.122210908,0
9.47812E-06,33.90348938,-4.88682E-06,-6.3587E-08,-2.165052268,0.000210137,1.46536E-06,0.000208108,4.40841E-05,0.428131876,0
1.50486E-05,33.89856005,-4.76711E-06,-1.29675E-07,-1.826001049,0.000177229,1.46536E-06,0.000175061,0.000133286,1.163811873,0
2.24892E-05,33.89476544,-4.58507E-06,-2.17638E-07,-1.487000102,0.000144326,1.46536E-06,0.000141934,0.000282395,2.247145977,0
3.24948E-05,33.89255397,-4.3175E-06,-3.15975E-07,-1.148044433,0.000111428,1.46536E-06,0.000108721,0.000484617,3.542284196,0
4.56964E-05,33.89130893,-3.92885E-06,-4.02904E-07,-0.809118125,7.85319E-05,1.46536E-06,7.54188E-05,0.000718352,4.858788871,0
6.22742E-05,33.89024041,-3.37416E-06,-4.46639E-07,-0.470207747,4.56377E-05,1.46536E-06,4.20275E-05,0.000951282,6.012397767,0
8.16851E-05,33.88898971,-2.60753E-06,-4.08339E-07,-0.131308042,1.27446E-05,1.46536E-06,8.54849E-06,0.001149973,6.870976979,0
0.000102583,33.88894507,-1.59218E-06,-2.46979E-07,-0.207580382,2.01475E-05,1.46536E-06,-2.50145E-05,0.001292697,99.36587206,0
0.000122531,33.9000713,-3.05694E-07,7.8438E-08,-0.546463704,5.28964E-05,3.20307E-06,-5.85144E-05,0.001387813,100,0
0.000138722,33.92411813,1.23808E-06,6.11532E-07,-0.885416435,8.52734E-05,5.18983E-06,-9.17078E-05,0.001471828,100,0
0.000149351,33.95468806,2.99435E-06,1.38594E-06,-1.224574723,0.000117117,7.17779E-06,-0.000124393,0.001551896,100,0
0.000153151,33.98663472,4.91735E-06,2.42378E-06,-1.564032796,0.000148105,9.16751E-06,-0.000156212,0.001627896,100,0
0.000149587,34.01674584,6.95914E-06,3.73889E-06,-1.903823636,0.000178076,1.11592E-05,-0.000186981,0.001699666,100,0
0.000138651,34.04350811,9.05637E-06,5.33793E-06,-2.243938509,0.000206883,1.31527E-05,-0.000216544,0.001766905,100,0
0.000120642,34.06728002,1.11727E-05,7.22218E-06,-2.584345063,0.000234022,1.5148E-05,-0.000244392,0.00183025,100,0
9.6E-05,34.08962853,1.32895E-05,9.38895E-06,-2.925006819,0.000259517,1.71448E-05,-0.000270571,0.001889455,100,0
6.51853E-05,34.11205903,1.53656E-05,1.18324E-05,-3.265899939,0.000283117,1.91429E-05,-0.000294858,0.001945231,100,0
2.86365E-05,34.13527445,1.73774E-05,1.45455E-05,-3.607018064,0.000304305,2.11424E-05,-0.000316771,0.001997693,100,0
-1.3294E-05,34.15920983,1.93192E-05,1.75209E-05,-3.948366263,0.000323215,2.31432E-05,-0.00033649,0.002046982,100,0
-6.02545E-05,34.18346423,2.11919E-05,2.07502E-05,-4.289952186,0.000339404,2.51454E-05,-0.000353618,0.002093527,100,0
-0.000111883,34.20762851,2.30013E-05,2.42242E-05,-4.631780409,0.000352553,2.7149E-05,-0.000367888,0.002137078,100,0
-0.00016778,34.23144366,2.47585E-05,2.79321E-05,-4.973851013,0.000362767,2.88445E-05,-0.000379464,0.002178264,100,0
-0.000227516,34.25483137,2.64796E-05,3.18619E-05,-5.316160563,0.0003694,2.86317E-05,-0.000387758,0.00221701,100,0
-0.000290641,34.27784796,2.81839E-05,3.60007E-05,-5.658703974,0.000372739,2.79356E-05,-0.000393122,0.002253681,100,0
-0.000356657,34.30060547,2.98698E-05,4.0335E-05,-6.001476255,0.000373027,2.72391E-05,-0.000395865,0.002288635,100,0
-0.000425229,34.32320154,3.15925E-05,4.48511E-05,-6.344473473,0.000369723,2.6542E-05,-0.000395509,0.002321812,100,0
-0.000495817,34.3456844,3.33557E-05,4.95354E-05,-6.687692936,0.000363525,2.58446E-05,-0.000392827,0.00235394,100,0
-0.000568044,34.36805277,3.51628E-05,5.43755E-05,-7.031132862,0.000354298,2.51466E-05,-0.000387748,0.002384679,100,0
-0.000641526,34.39027781,3.70242E-05,5.9359E-05,-7.374791738,0.000341925,2.44483E-05,-0.000380215,0.002414502,100,0
-0.000715893,34.41232961,3.89465E-05,6.44744E-05,-7.718667927,0.000326868,2.37495E-05,-0.000370755,0.002443463,100,0
-0.000790791,34.43419449,4.09312E-05,6.97104E-05,-8.062759542,0.000308829,2.30502E-05,-0.000359128,0.002471627,100,0
-0.00086588,34.45587819,4.29749E-05,7.50564E-05,-8.407064543,0.000288072,2.23505E-05,-0.000345656,0.002499418,100,0
-0.000940839,34.47739886,4.50702E-05,8.05021E-05,-8.751580945,0.000264837,2.16504E-05,-0.000330638,0.002526593,100,0
-0.001015364,34.49877708,4.72068E-05,8.60383E-05,-9.096306965,0.000238707,2.09499E-05,-0.000313708,0.002553669,100,0
-0.001089182,34.52002922,4.93721E-05,9.16563E-05,-9.441241102,0.00021026,2.02489E-05,-0.000295495,0.002580429,100,0
-0.001162042,34.54116609,5.15527E-05,9.73481E-05,-9.786382103,0.000179383,1.95616E-05,-0.000275938,0.0026071,100,0
-0.001233725,34.56219527,5.37354E-05,0.000103107,-10.1317289,0.000146044,1.91781E-05,-0.00025505,0.0026338,100,0
-0.001304032,34.58312437,5.59072E-05,0.000108925,-10.47728055,0.00011057,1.91658E-05,-0.000233207,0.002660392,100,0
-0.001372788,34.6039628,5.80555E-05,0.000114796,-10.82303626,7.26101E-05,1.91909E-05,-0.000210102,0.002687318,100,0
-0.001439838,34.6247217,6.01694E-05,0.000120715,-11.16899534,3.23992E-05,1.92161E-05,-0.000186014,0.002714216,100,0
-0.001505051,34.64541294,6.22397E-05,0.000126677,-11.51515726,-1.00326E-05,1.92413E-05,-0.000161016,0.002741467,100,0
-0.001568319,34.66604805,6.42588E-05,0.000132676,-11.86152162,-5.50087E-05,1.92665E-05,-0.000134827,0.00276889,100,0
