Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_vel_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,engine.engine_rpm,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.throttle,driver_demands.brake
3.23922E-05,0.26484395,0,5.62843E-05,-2.33106E-05,3324.833129,3.5422E-08,0,0,0
0.000167656,0.068017903,9.61726E-05,0.000262527,-0.000152824,3322.95262,-0.000117777,-0.000632282,0.00098506,0
3.63236E-05,-0.299454478,0.000464762,-0.001620121,-0.000408367,3316.824098,-0.000103738,-0.000557185,0.122380855,0
-0.002098121,-0.49634978,0.001195727,-0.010148563,-0.002021136,3322.3657,3.5422E-08,0.016533806,0.428181791,0
-0.011572138,-0.455412161,0.002079925,-0.038540205,-0.008680295,3330.029257,3.5422E-08,0.01394695,1.163950417,0
-0.038194588,-0.295195624,0.002766497,-0.096388797,-0.026794436,3335.129494,3.5422E-08,0.011360641,2.247411033,0
-0.089112379,-0.156993442,0.003091947,-0.179807737,-0.060851488,3336.93506,3.5422E-08,0.008775361,3.542669155,0
-0.162660824,-0.103722621,0.003110526,-0.274450342,-0.10952611,3336.787189,3.5422E-08,0.006191907,4.859231872,0
-0.249047807,-0.113170803,0.002964987,-0.358069915,-0.165936677,3336.214039,3.5422E-08,0.003611335,6.012820602,0
-0.334135241,-0.132119184,0.002770727,-0.407388298,-0.220080707,3335.930437,3.5422E-08,0.001034726,6.871339042,0
-0.404585608,0.380293684,-0.000805958,-0.407941741,-0.262384367,3447.139848,3.5422E-08,-0.001537121,99.36587206,0
-0.453459195,1.851582875,-0.005669362,-0.365082216,-0.290263008,3518.774903,7.7033E-08,-0.004103987,100,0
-0.480304237,2.836880463,-0.011588109,-0.266114667,-0.304447057,3511.231412,1.25018E-07,-0.0066667,100,0
-0.492711675,3.19387961,-0.018366135,-0.169057081,-0.307264019,3477.092946,1.73032E-07,-0.009227319,100,0
-0.49877936,3.143400141,-0.024821774,-0.061697181,-0.300122814,3440.904366,2.21089E-07,-0.01178837,100,0
-0.503714163,2.854491121,-0.03009056,0.068442628,-0.284393925,3416.903118,2.69192E-07,-0.014351394,100,0
-0.510408603,2.509677601,-0.033724418,0.151877222,-0.264052833,3411.675868,3.17341E-07,-0.016916841,100,0
