Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,engine.engine_rpm,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance
3.09364E-05,0.263074172,-0.019151382,5.54638E-05,-2.57122E-05,4804.898676,-4.35892E-07,0
0.000197317,0.077208102,0.023846193,0.000307035,-0.000186557,4810.448475,-6.39866E-05,-0.001631224
-0.000497732,-0.24580104,0.05170768,-0.008634601,-0.000971797,4803.070154,-4.35892E-07,0.108412568
-0.011937755,-0.415242849,0.079793064,-0.083728103,-0.010024171,4805.948279,-4.35892E-07,0.085712487
-0.080001134,-0.40189338,0.078556075,-0.311964808,-0.057887938,4811.076706,-4.35892E-07,0.06301388
-0.256717784,-0.303589342,0.055196088,-0.689565697,-0.177305035,4815.261562,-4.35892E-07,0.040319194
-0.55374331,-0.214011611,0.02807073,-1.153782502,-0.374230913,4817.985955,-4.35892E-07,0.017632485
-0.93953489,0.052179642,-0.201173962,-1.608324543,-0.62582297,4870.802283,-4.35892E-07,-0.005040763
-1.35854276,0.721992001,-0.273303259,-1.948982039,-0.894225262,4917.034658,-1.04298E-06,-0.027694742
-1.749139865,1.287268296,-0.371924564,-2.059219438,-1.137747245,4932.465232,-1.89555E-06,-0.050325839
-2.06058473,1.59646497,-0.415339404,-1.910631698,-1.321258226,4931.193924,-2.74826E-06,-0.072934169
-2.280994777,1.692004798,-0.384400931,-1.572691582,-1.433017026,4922.958143,-3.60122E-06,-0.095523145
-2.414564191,1.656676119,-0.312938557,-1.11644012,-1.471290468,4915.435516,-4.45447E-06,-0.118098146
-2.496622768,1.5744632,-0.226463994,-0.595466213,-1.454478198,4912.525519,-5.30803E-06,-0.140664384
-2.559769095,1.504845726,-0.149130907,-0.082669758,-1.403713402,4914.119149,-6.16189E-06,-0.163225018
-2.62210844,1.469640515,-0.093408812,0.369719255,-1.333257307,4918.249094,-7.01604E-06,-0.185780101
-2.692099578,1.462502185,-0.049832535,0.757920904,-1.251456216,4923.058397,-7.87045E-06,-0.20832568
-2.770479094,1.466214697,-0.023256641,1.01256812,-1.162608896,4927.009714,-8.72701E-06,-0.230853345
-2.857471759,1.46737622,-0.002562156,1.173125158,-1.068667495,4930.655581,-9.60138E-06,-0.253350456
-2.951333825,1.466980336,0.016574993,1.228548793,-0.971066574,4934.405996,-1.04779E-05,-0.275799749
-3.050075436,1.466003019,0.033492782,1.190283659,-0.870822017,4938.266839,-1.13546E-05,-0.298179829
-3.151512401,1.464905219,0.046982755,1.078535494,-0.768990524,4942.260501,-1.22316E-05,-0.320465642
-3.253565485,1.46381669,0.054004387,0.90688089,-0.666583099,4946.386026,-1.31089E-05,-0.342629016
-3.355005104,1.462698154,0.065734227,0.720005396,-0.564776538,4950.637018,-1.39865E-05,-0.36463955
-3.453611063,1.461835932,0.073784887,0.512711104,-0.464573254,4955.011103,-1.48644E-05,-0.386465461
-3.548294566,1.461854408,0.080517917,0.31682725,-0.366760463,4959.502652,-1.57425E-05,-0.408074674
