Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
2.03914E-06,48.9625,-4.95304E-06,-4.39E-10,0,0,-4.35892E-07,0,0
3.51678E-06,48.96448401,-4.94474E-06,-4.973E-09,2.828148418,0.001629502,-6.39866E-05,-0.001631224,-5.89609E-06
5.8285E-06,48.96359138,-4.96254E-06,-2.992E-08,-2.333484942,0.108297964,-4.35892E-07,0.108412568,-0.006866876
-2.61857E-05,48.96010582,-6.2528E-06,-1.90842E-07,-1.844895911,0.085622353,-4.35892E-07,0.085712487,-0.041267658
-0.000334615,48.95589087,-1.73276E-05,-1.56618E-06,-1.356333832,0.062947992,-4.35892E-07,0.06301388,-0.112988941
-0.001520883,48.95232325,-6.12686E-05,-8.97505E-06,-0.867814088,0.040275597,-4.35892E-07,0.040319194,-0.218862552
-0.004188638,48.94974527,-0.000175314,-3.4036E-05,-0.379334648,0.017605072,-4.35892E-07,0.017632485,-0.345966609
-0.008462789,48.94840223,-0.0004049,-9.58259E-05,-0.10911456,0.00506405,-4.35892E-07,-0.005040763,-0.475405642
-0.013752864,48.95213289,-0.000794402,-0.000218804,-0.597546068,0.02773241,-1.04298E-06,-0.027694742,-0.5869208
-0.018784213,48.96233037,-0.001376575,-0.000429198,-1.085997161,0.050401928,-1.89555E-06,-0.050325839,-0.664399831
-0.021817198,48.97690697,-0.002161933,-0.000750989,-1.574532978,0.073075831,-2.74826E-06,-0.072934169,-0.702119574
-0.021060743,48.99344244,-0.003136076,-0.001202581,-2.06320862,0.09575688,-3.60122E-06,-0.095523145,-0.710975865
-0.015053126,49.01019538,-0.004265736,-0.001795366,-2.552053524,0.118446648,-4.45447E-06,-0.118098146,-0.712303964
-0.002874952,49.02628415,-0.00550597,-0.002533681,-3.041075247,0.141145689,-5.30803E-06,-0.140664384,-0.711254295
0.015746149,49.0415561,-0.006805625,-0.003416415,-3.530268402,0.16385396,-6.16189E-06,-0.163225018,-0.708047263
0.040659166,49.0562679,-0.00811382,-0.004439023,-4.019623345,0.186571219,-7.01604E-06,-0.185780101,-0.70288083
0.07148613,49.07073435,-0.009385506,-0.005594924,-4.509132227,0.209297308,-7.87045E-06,-0.20832568,-0.695923777
0.107742385,49.08514254,-0.010583039,-0.006876338,-4.998791171,0.232032254,-8.72701E-06,-0.230853345,-0.687328319
0.148909439,49.09950386,-0.011679763,-0.008274684,-5.488600015,0.254776272,-9.60138E-06,-0.253350456,-0.677240122
0.194450194,49.11378094,-0.012659683,-0.009780785,-5.978558309,0.277529551,-1.04779E-05,-0.275799749,-0.665805624
