Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
1.7433E-06,41.4946,-4.97988E-06,-3.19E-10,0,0,-8.6747E-08,0,0
3.08454E-06,41.49658138,-4.97212E-06,-4.444E-09,2.835625407,0.000335924,-3.40779E-05,-0.000337866,1.34249E-06
6.60223E-06,41.49555895,-4.9195E-06,-2.4621E-08,2.420666025,0.000286765,-2.91037E-05,-0.000288725,0.001564081
2.09825E-05,41.49185598,-4.53721E-06,-3.9877E-08,-2.00553458,-0.018446436,-8.6747E-08,-0.01844926,0.009401661
8.29162E-05,41.48744775,-2.6261E-06,1.42814E-07,-1.590636818,-0.014630304,-8.6747E-08,-0.014633185,0.025743911
0.00029046,41.48383625,4.28049E-06,1.27884E-06,-1.175783742,-0.010814583,-8.6747E-08,-0.010817906,0.049873137
0.000789003,41.48141882,2.27225E-05,5.31591E-06,-0.760972478,-0.006999246,-8.6747E-08,-0.007004021,0.078855362
0.001681932,41.47979612,6.17049E-05,1.5811E-05,-0.346191191,-0.003184185,-8.6747E-08,-0.003192481,0.108395902
0.002944539,41.47946606,0.000130985,3.77584E-05,-0.068570723,-0.000630697,-8.6747E-08,0.000615518,0.133874264
0.004392214,41.48790759,0.000238808,7.68878E-05,-0.483324548,-0.004445501,-1.67716E-07,0.004418854,0.151592731
0.005700516,41.50710034,0.000389697,0.000138774,-0.898130443,-0.008260752,-3.11655E-07,0.008217212,0.160180575
0.006471741,41.53249607,0.000582499,0.000227972,-1.313098921,-0.012077447,-4.55651E-07,0.012011497,0.162077874
0.006340095,41.55993457,0.000811571,0.000347421,-1.728313933,-0.015896332,-5.99732E-07,0.015803353,0.162296678
0.005076298,41.58680032,0.001067845,0.000498349,-2.143811921,-0.019717711,-7.43911E-07,0.019594416,0.16191426
0.002607587,41.61188761,0.001339252,0.000680663,-2.559595094,-0.023541589,-8.8819E-07,0.023385968,0.16099856
-0.001039789,41.63524805,0.001614709,0.000893466,-2.975646747,-0.027367784,-1.03256E-06,0.02717867,0.159607344
-0.005787691,41.65766021,0.001884339,0.00113537,-3.391945603,-0.031196065,-1.17702E-06,0.030971916,0.157785955
-0.011535999,41.67992575,0.002139653,0.001404692,-3.808476417,-0.035026283,-1.32156E-06,0.034764039,0.155572797
-0.018179272,41.70248387,0.002374283,0.001699576,-4.225233192,-0.038858351,-1.46617E-06,0.038552382,0.15300307
-0.025612836,41.72540708,0.002584189,0.002018041,-4.642216633,-0.042692237,-1.61087E-06,0.042333301,0.15011187
-0.033734561,41.7485659,0.002767997,0.002357986,-5.05942983,-0.046527965,-1.68389E-06,0.04610225,0.146936453
-0.042442693,41.77170307,0.002926284,0.002717178,-5.476875316,-0.050365541,-1.52965E-06,0.049853704,0.143515695
-0.051635295,41.79467613,0.003061198,0.003093244,-5.8945534,-0.054204976,-1.35141E-06,0.053581403,0.13989179
-0.061210896,41.8175018,0.003176183,0.003483719,-6.3124622,-0.058046305,-1.17306E-06,0.057278487,0.136105971
-0.07107003,41.84025424,0.003275266,0.003886101,-6.730599366,-0.06188953,-9.94621E-07,0.060937633,0.132197064
-0.081118361,41.86300101,0.00336296,0.004297903,-7.148963179,-0.065734656,-8.16084E-07,0.06455138,0.128201028
-0.091264773,41.88577905,0.003443631,0.004716693,-7.567552702,-0.069581719,-6.37451E-07,0.068112283,0.124151187
-0.101423372,41.90858977,0.003521065,0.005140135,-7.986367617,-0.073430742,-4.58721E-07,0.071613127,0.120078011
-0.111513588,41.93136042,0.003598548,0.005566,-8.405407844,-0.077281752,-2.79895E-07,0.075047083,0.116009653
-0.121458122,41.95395846,0.003678542,0.005992166,-8.824672862,-0.08113478,-1.00973E-07,0.078407738,0.111972922
-0.131184622,41.97627031,0.003762441,0.006416629,-9.244161042,-0.084989841,7.8044E-08,0.081689161,0.10799324
-0.140625073,41.99824521,0.003851062,0.006837504,-9.663869537,-0.088846942,2.57155E-07,0.084885947,0.104094254
-0.149716355,42.01988849,0.003944451,0.007253046,-10.08379475,-0.092706078,2.70849E-07,0.087993146,0.100296955
-0.15840093,42.04123604,0.004041954,0.00766166,-10.50393299,-0.096567215,-1.17784E-07,0.091006297,0.096619533
-0.166627229,42.06232983,0.004142361,0.008061911,-10.92428089,-0.100430256,-5.44399E-07,0.093921403,0.093077505
-0.174349712,42.08320378,0.004244076,0.008452517,-11.34483561,-0.104295102,-9.71223E-07,0.096734953,0.089684195
-0.181528811,42.10388039,0.004345279,0.008832349,-11.76559476,-0.108161663,-1.39826E-06,0.099443898,0.086451024
-0.188130979,42.12437382,0.004444054,0.009200411,-12.18655622,-0.112029822,-1.82549E-06,0.102045564,0.082577565
-0.194133194,42.1446949,0.004538379,0.009555826,-12.60771827,-0.115899503,-2.25293E-06,0.10453767,0.078862769
-0.199520365,42.16485464,0.00462623,0.009897776,-13.0290792,-0.119770625,-2.68058E-06,0.106918282,0.075316656
-0.204275828,42.18486561,0.004705847,0.010225508,-13.45063743,-0.12364307,-3.10842E-06,0.109185724,0.071949754
-0.208384498,42.20474376,0.004775707,0.010538359,-13.87239175,-0.127516756,-3.53646E-06,0.111338604,0.068770093
-0.211834611,42.22450694,0.004834587,0.010835765,-14.29434094,-0.131391625,-3.9647E-06,0.113375811,0.065783644
-0.214618776,42.24417359,0.004881609,0.011117269,-14.71648391,-0.13526756,-4.39314E-06,0.115296425,0.062994414
-0.216734461,42.26376159,0.004916253,0.011382522,-15.13882014,-0.139144465,-4.47118E-06,0.11709978,0.060404505
-0.218184089,42.28328752,0.004938346,0.011631282,-15.56134897,-0.143022372,-4.02796E-06,0.118785581,0.058014211
-0.218974899,42.30276638,0.004947993,0.011863417,-15.98406993,-0.146901328,-3.54796E-06,0.120353786,0.055822165
-0.219118748,42.32221138,0.004945538,0.012078896,-16.4069831,-0.15078138,-3.06774E-06,0.12180461,0.053825389
-0.218631813,42.34163379,0.004931525,0.012277791,-16.83008833,-0.154662666,-2.5873E-06,0.123138618,0.05201941
-0.217534238,42.36104272,0.004906647,0.01246027,-17.25338575,-0.158545263,-2.10664E-06,0.124356574,0.050398378
-0.215849747,42.3804447,0.004871698,0.012626597,-17.67687551,-0.162429221,-1.62576E-06,0.125459482,0.048955223
-0.213605266,42.39984321,0.004827517,0.012777119,-18.100558,-0.166314666,-1.14467E-06,0.126448684,0.047681738
-0.210830536,42.41923904,0.004774958,0.012912269,-18.52443347,-0.170201679,-6.63355E-07,0.127325741,0.046568724
-0.207557742,42.43863234,0.004714856,0.013032553,-18.94850222,-0.17409034,-1.81821E-07,0.128092464,0.045606128
-0.203821149,42.45802321,0.004648005,0.013138547,-19.37276456,-0.177980746,2.99932E-07,0.128750925,0.044783132
-0.199656742,42.47741172,0.004575149,0.013230889,-19.79722075,-0.181872982,7.69405E-07,0.129303411,0.044088286
-0.195101872,42.49679783,0.004496969,0.01331027,-20.22187107,-0.185767133,9.32558E-07,0.129752419,0.043509671
-0.190194915,42.51618145,0.004414081,0.013377425,-20.64671571,-0.189663239,8.22767E-07,0.130100589,0.043035056
-0.184974936,42.53556243,0.004327045,0.013433129,-21.07175489,-0.193561272,7.07174E-07,0.130350659,0.04265202
-0.179481371,42.55494061,0.004236361,0.013478185,-21.4969888,-0.197461216,5.91529E-07,0.130505523,0.042348057
-0.173753718,42.57431579,0.004142484,0.013513419,-21.92241755,-0.201363062,4.7583E-07,0.130568201,0.042110654
-0.167831254,42.59368781,0.004045828,0.013539668,-22.34804127,-0.205266778,3.60078E-07,0.130541789,0.041927468
-0.161752841,42.61305647,0.003946774,0.013557777,-22.77386005,-0.209172347,2.44273E-07,0.130429466,0.041786376
-0.15555675,42.63242161,0.003845671,0.013568591,-23.19987397,-0.213079752,1.28415E-07,0.130234466,0.041675597
-0.149280277,42.65178305,0.003742847,0.013572941,-23.62608306,-0.21698897,1.2504E-08,0.129960046,0.041583784
-0.142959365,42.67114056,0.003638612,0.013571645,-24.05248733,-0.220899981,-1.0346E-07,0.129609474,0.04150023
-0.136628344,42.69049392,0.003533266,0.013565497,-24.47908679,-0.224812764,-2.19477E-07,0.129186011,0.041414819
-0.130319748,42.70984291,0.003427101,0.013555267,-24.90588141,-0.228727295,-3.17016E-07,0.128692889,0.041318033
-0.124064188,42.72918733,0.003320412,0.013541693,-25.33287116,-0.232643561,-2.36764E-07,0.128133305,0.041200919
-0.117890252,42.74852703,0.003213492,0.013525481,-25.76005595,-0.236561574,-8.6734E-08,0.127510429,0.041055253
-0.111824434,42.76786187,0.003106636,0.013507302,-26.18743571,-0.240481358,6.3364E-08,0.12682737,0.040873419
-0.105891072,42.78719175,0.003000142,0.013487787,-26.61501036,-0.244402942,2.13531E-07,0.126087163,0.040648465
-0.100112312,42.80651658,0.00289431,0.013467526,-27.04277978,-0.24832635,3.63766E-07,0.125292749,0.040374085
-0.094508081,42.82583629,0.002789439,0.013447069,-27.47074388,-0.25225161,5.14069E-07,0.124446972,0.040044729
-0.089096078,42.8451508,0.002685824,0.013426922,-27.89890252,-0.256178752,6.64441E-07,0.123552572,0.03965549
-0.083891774,42.86446005,0.002583755,0.013407547,-28.32725556,-0.260107796,8.14881E-07,0.12261217,0.03920214
-0.078908448,42.88376397,0.00248351,0.013389362,-28.75580287,-0.264038767,9.65389E-07,0.121628271,0.038681095
-0.074157297,42.90306251,0.002385347,0.01337274,-29.18454435,-0.267971707,1.11597E-06,0.120603282,0.038089444
-0.069647486,42.92235563,0.002289502,0.013358008,-29.61347979,-0.271906628,1.26661E-06,0.119539456,0.0374249
-0.065386125,42.94164327,0.002196188,0.013345447,-30.04260906,-0.275843554,1.31592E-06,0.118438936,0.036685875
-0.061378259,42.96092541,0.002105583,0.013335292,-30.47193207,-0.279782497,9.96091E-07,0.117303726,0.035871422
-0.057626893,42.98020202,0.00201784,0.013327732,-30.9014486,-0.283723404,6.41731E-07,0.116135645,0.034981318
-0.054133055,42.99947306,0.001933078,0.013322912,-31.33115854,-0.287666199,2.87211E-07,0.114936361,0.034015938
-0.050895872,43.01873852,0.001851385,0.013320933,-31.76106175,-0.291610822,-6.7469E-08,0.113707436,0.032976246
-0.047912678,43.03799839,0.001772824,0.013321854,-32.19115807,-0.295557204,-4.22307E-07,0.112450304,0.03186371
-0.045179117,43.05725266,0.001697428,0.013325696,-32.62144735,-0.299505276,-7.77305E-07,0.111166277,0.030680393
