Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.brake,driver_demands.throttle
3.17315E-05,0.264029312,-0.019571652,5.60628E-05,-2.44365E-05,-8.6747E-08,0,4072.097304,0,0
0.000185312,0.072773471,0.023536681,0.000299525,-0.000170582,-3.40779E-05,-0.000337866,4073.964978,0,0.000920709
0.000500281,-0.265866048,0.048582666,0.002843002,-3.44834E-05,-2.91037E-05,-0.000288725,4068.387085,0,1.041814811
0.002945845,-0.437565837,0.083217354,0.013060879,0.001690186,-8.6747E-08,-0.01844926,4072.084247,0,0.40767575
0.013392423,-0.416089934,0.079752579,0.046277825,0.009017538,-8.6747E-08,-0.014633185,4077.515687,0,1.107446227
0.042390618,-0.297949361,0.053359023,0.112114432,0.028772795,-8.6747E-08,-0.010817906,4081.89636,0,2.139455612
0.097126833,-0.190395511,0.022769444,0.203827431,0.065350695,-8.6747E-08,-0.007004021,4084.355759,0,3.382873117
0.175189651,-0.13969535,0.000287929,0.304113584,0.11679406,-8.6747E-08,-0.003192481,4085.493449,0,4.667507511
0.265908495,0.272731959,-0.386711478,0.38870183,0.175533715,-8.6747E-08,0.000615518,4176.701752,0,77.02293247
0.354817116,1.442160708,-0.460512336,0.436828366,0.232407536,-1.67716E-07,0.004418854,4245.415358,0,84.52687622
0.42796256,2.315262167,-0.579740721,0.424309054,0.278417948,-3.11655E-07,0.008217212,4252.380973,0,87.43630595
0.476995252,2.701951781,-0.613450255,0.366819137,0.307483969,-4.55651E-07,0.012011497,4233.599366,0,88.2785478
0.503624695,2.752187397,-0.55670653,0.276993374,0.318824917,-5.99732E-07,0.015803353,4210.273225,0,89.10815338
0.517921461,2.612521909,-0.440998637,0.14945727,0.316487023,-7.43911E-07,0.019594416,4194.17316,0,90.08979171
0.528293973,2.420150215,-0.307233093,0.041569042,0.306504408,-8.8819E-07,0.023385968,4189.631819,0,90.9907259
0.539377856,2.281380692,-0.198617092,-0.058135168,0.291570593,-1.03256E-06,0.02717867,4194.397805,0,91.71218042
0.552976721,2.231604264,-0.128184884,-0.144195101,0.273762415,-1.17702E-06,0.030971916,4203.139518,0,92.29545141
0.569346903,2.246736319,-0.088489458,-0.207681509,0.254448703,-1.32156E-06,0.034764039,4211.439844,0,92.85193979
0.588070655,2.28518909,-0.064085678,-0.24794438,0.234061496,-1.46617E-06,0.038552382,4217.440799,0,93.47309035
0.608481383,2.318482236,-0.044713381,-0.258123992,0.212852151,-1.61087E-06,0.042333301,4221.313549,0,94.19406103
0.630048806,2.330666899,-0.01398454,-0.255483077,0.190288992,-1.68389E-06,0.04610225,4222.670696,0,93.95431053
0.652129909,2.318660604,0.01588293,-0.233404914,0.166603548,-1.52965E-06,0.049853704,4224.220584,0,94.85981114
0.674340304,2.302121606,0.049717262,-0.198473981,0.14215081,-1.35141E-06,0.053581403,4227.089459,0,95.79843395
0.696296695,2.291521624,0.082466102,-0.156336195,0.117451508,-1.17306E-06,0.057278487,4230.82822,0,96.73879277
0.717670928,2.288650351,0.111809164,-0.111706027,0.092994439,-9.94621E-07,0.060937633,4234.937867,0,97.6856036
0.738201531,2.291068743,0.135301598,-0.068456311,0.069156029,-8.16084E-07,0.06455138,4239.053168,0,98.64416003
0.75776155,2.295507664,0.154979849,-0.030627666,0.046214352,-6.37451E-07,0.068112283,4243.014517,0,99.61653703
0.776247428,2.296929633,0.17474317,0.001665026,0.024346899,-4.58721E-07,0.071613127,4246.042944,0,100
0.793601909,2.287055268,0.194451854,0.026648118,0.003469725,-2.79895E-07,0.075047083,4247.889277,0,100
0.809878904,2.263441076,0.210782058,0.040619092,-0.016397648,-1.00973E-07,0.078407738,4249.279446,0,100
0.825015479,2.231324635,0.226189745,0.048804026,-0.035128124,7.8044E-08,0.081689161,4250.857097,0,100
0.83905755,2.197173778,0.239180428,0.049100552,-0.052591821,2.57155E-07,0.084885947,4252.847435,0,100
0.852030542,2.165428119,0.24851571,0.04231049,-0.068641861,2.70849E-07,0.087993146,4255.199005,0,100
