Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle_States.side_slip,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
-1.156026815,2.62738E-05,4.23682E-07,10,-4.98719E-06,-4.7E-11,4.2368E-08,0,0,0,0,0,0
-1.05601573,2.62763E-05,1.04165E-06,10.00169493,-4.98339E-06,-1.996E-09,1.04147E-07,-2.867123451,0,0,-1.93139E-06,-3.1E-11,8.13741E-06
-0.956011038,2.62876E-05,2.27562E-06,9.998214342,-4.96864E-06,-1.1406E-08,2.27603E-07,-2.767111434,0,0,-1.9398E-06,-3.6374E-08,0.010025032
-0.856067854,2.63127E-05,4.09339E-06,9.989797769,-4.93649E-06,-3.3163E-08,4.09757E-07,-2.667112474,0,0,-1.9737E-06,-2.13692E-07,0.065192718
-0.756222331,2.63553E-05,6.33292E-06,9.979199138,-4.88292E-06,-7.0946E-08,6.34612E-07,-2.56718272,0,0,-2.04784E-06,-5.39708E-07,0.198057667
-0.656481437,2.64172E-05,8.84265E-06,9.969275882,-4.80942E-06,-1.27341E-07,8.8699E-07,-2.467357361,0,0,-2.17258E-06,-8.85483E-07,0.433245705
-0.556829745,2.64986E-05,1.15146E-05,9.961429558,-4.72287E-06,-2.03925E-07,1.15592E-06,-2.367640652,0,0,-2.35328E-06,-9.9978E-07,0.783235763
-0.457247029,2.65987E-05,1.42709E-05,9.955322684,-4.63188E-06,-3.00785E-07,1.43349E-06,-2.268014837,0,0,-2.59098E-06,-5.58583E-07,1.246578523
-0.357720973,2.6716E-05,1.70446E-05,9.94994204,-4.54547E-06,-4.16219E-07,1.71303E-06,-2.168458586,0,0,-2.88276E-06,7.38816E-07,1.812848046
-0.258247474,2.68488E-05,1.97884E-05,9.944813546,-4.47201E-06,-5.47385E-07,1.98983E-06,-2.068959261,0,0,-3.22197E-06,3.08464E-06,2.467582212
-0.158822528,2.69952E-05,2.24646E-05,9.940353547,-4.4181E-06,-6.91393E-07,2.25994E-06,-1.969512189,0,0,-3.60003E-06,6.57117E-06,3.190353356
-0.0594359,2.71531E-05,2.50489E-05,9.937234526,-4.38782E-06,-8.45792E-07,2.52071E-06,-1.870112112,0,0,-4.00871E-06,1.12201E-05,3.949836089
0.039926958,2.73206E-05,2.7539E-05,9.935537602,-4.38265E-06,-1.00835E-06,2.77177E-06,-1.770747415,0,0,-4.44106E-06,1.69624E-05,4.706186562
0.139277187,2.74962E-05,2.99487E-05,9.934541231,-4.40183E-06,-1.17648E-06,3.0146E-06,-1.671402938,0,0,-4.89106E-06,2.35676E-05,5.422859895
0.238616935,2.76788E-05,3.22919E-05,9.933311991,-4.44281E-06,-1.34697E-06,3.25087E-06,-1.572068024,0,0,-5.35282E-06,3.05981E-05,6.076938084
0.337941379,2.78675E-05,3.45693E-05,9.931495457,-4.50195E-06,-1.51626E-06,3.48078E-06,-1.472741525,0,0,-5.82021E-06,3.74765E-05,6.656661612
0.437246432,2.8062E-05,3.67588E-05,9.929567897,-4.57495E-06,-1.68107E-06,3.70195E-06,-1.373428827,0,0,-6.2872E-06,4.36444E-05,7.149417101
0.536535135,2.82618E-05,3.88303E-05,9.928352245,-4.65782E-06,-1.83887E-06,3.91105E-06,-1.274133646,0,0,-6.74876E-06,4.869E-05,7.535347958
