Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
1.55785E-06,36.9267,-4.99186E-06,-2.41E-10,0,0,0,0,0
2.80762E-06,36.92867912,-4.98455E-06,-4.097E-09,-2.84019702,0,0,-1.94914E-06,-1.2E-11
5.70551E-06,36.92754947,-4.95013E-06,-2.369E-08,-2.470916617,0,0,-1.96508E-06,-6.099E-09
1.00334E-05,36.92350285,-4.87764E-06,-6.6636E-08,-2.101634367,0,0,-2.0341E-06,5.9664E-08
1.55687E-05,36.91872466,-4.76493E-06,-1.36753E-07,-1.732383644,0,0,-2.17831E-06,5.29914E-07
2.21104E-05,36.91497343,-4.61835E-06,-2.35652E-07,-1.363181558,0,0,-2.40763E-06,1.89423E-06
2.95186E-05,36.91267179,-4.45038E-06,-3.63418E-07,-0.994023797,0,0,-2.72353E-06,4.56985E-06
3.77087E-05,36.91127703,-4.27594E-06,-5.18768E-07,-0.62489581,0,0,-3.12167E-06,8.66845E-06
4.6617E-05,36.91009559,-4.10938E-06,-6.99258E-07,-0.255785152,0,0,-3.59413E-06,1.38615E-05
5.615E-05,36.91006065,-3.96086E-06,-9.01621E-07,-0.113313434,0,0,-4.1312E-06,1.945E-05
6.56711E-05,36.92062258,-3.83174E-06,-1.11932E-06,-0.482407463,0,0,-4.7231E-06,2.46392E-05
7.42838E-05,36.94365333,-3.72877E-06,-1.33724E-06,-0.851567679,0,0,-5.35333E-06,2.8689E-05
8.19571E-05,36.9731236,-3.66728E-06,-1.54375E-06,-1.220924562,0,0,-5.98427E-06,3.17298E-05
8.85265E-05,37.00413297,-3.65063E-06,-1.73304E-06,-1.590570039,0,0,-6.58704E-06,3.41812E-05
9.39849E-05,37.03375229,-3.67085E-06,-1.90189E-06,-1.960537839,0,0,-7.1467E-06,3.61187E-05
9.84299E-05,37.06073717,-3.71924E-06,-2.0489E-06,-2.330822719,0,0,-7.65538E-06,3.76071E-05
0.000102007,37.08541234,-3.78158E-06,-2.17416E-06,-2.701398763,0,0,-8.11011E-06,3.87076E-05
0.000104869,37.10893946,-3.84766E-06,-2.27898E-06,-3.07223703,0,0,-8.51306E-06,3.9495E-05
0.000107141,37.13240739,-3.91159E-06,-2.36534E-06,-3.443318394,0,0,-8.86872E-06,4.00363E-05
0.000108914,37.15633494,-3.97244E-06,-2.43543E-06,-3.814636635,0,0,-9.1824E-06,4.03846E-05
0.000110263,37.18070692,-4.02551E-06,-2.49115E-06,-4.186193966,0,0,-9.45912E-06,4.05675E-05
0.000111238,37.20525876,-4.07052E-06,-2.53413E-06,-4.557994688,0,0,-9.70407E-06,4.05996E-05
0.000111881,37.22970537,-4.10836E-06,-2.56582E-06,-4.930041235,0,0,-9.92109E-06,4.04961E-05
0.000112234,37.25385825,-4.13981E-06,-2.58754E-06,-5.302332967,0,0,-1.01134E-05,4.02729E-05
0.000112343,37.27764919,-4.16531E-06,-2.60052E-06,-5.674866743,0,0,-1.02838E-05,3.99482E-05
0.000112255,37.30109987,-4.18495E-06,-2.606E-06,-6.04763817,0,0,-1.04353E-05,3.95409E-05
0.000112015,37.32427202,-4.19887E-06,-2.60515E-06,-6.420642753,0,0,-1.05708E-05,3.9069E-05
0.000111662,37.3472244,-4.2072E-06,-2.5991E-06,-6.793876568,0,0,-1.06932E-05,3.85494E-05
0.000111234,37.36999076,-4.2098E-06,-2.58893E-06,-7.167336459,0,0,-1.08053E-05,3.79978E-05
0.00011076,37.39257725,-4.20698E-06,-2.57562E-06,-7.541019902,0,0,-1.09098E-05,3.7428E-05
0.000110266,37.41497302,-4.19927E-06,-2.56009E-06,-7.914924635,0,0,-1.10092E-05,3.68519E-05
0.000109775,37.43716446,-4.18717E-06,-2.54314E-06,-8.289048426,0,0,-1.11056E-05,3.62794E-05
0.000109303,37.45914529,-4.17154E-06,-2.52549E-06,-8.663388991,0,0,-1.1201E-05,3.57181E-05
0.000108866,37.48091957,-4.15346E-06,-2.50773E-06,-9.037944019,0,0,-1.12969E-05,3.51743E-05
0.000108473,37.50249911,-4.13346E-06,-2.49033E-06,-9.412711275,0,0,-1.13945E-05,3.46523E-05
0.00010813,37.52389884,-4.11226E-06,-2.47371E-06,-9.787688682,0,0,-1.14951E-05,3.41549E-05
0.000107843,37.54513325,-4.09104E-06,-2.45815E-06,-10.16287438,0,0,-1.15994E-05,3.36836E-05
0.000107611,37.56621501,-4.07083E-06,-2.44384E-06,-10.5382667,0,0,-1.17078E-05,3.32385E-05
0.000107432,37.58715552,-4.05235E-06,-2.43092E-06,-10.9138642,0,0,-1.18207E-05,3.28189E-05
0.0001073,37.60796627,-4.03628E-06,-2.41942E-06,-11.28966558,0,0,-1.19382E-05,3.24227E-05
0.000107208,37.6286595,-4.02324E-06,-2.40932E-06,-11.66566973,0,0,-1.20601E-05,3.20472E-05
0.000107146,37.64924829,-4.01371E-06,-2.40051E-06,-12.04187567,0,0,-1.21862E-05,3.16885E-05
0.000107105,37.6697461,-4.00799E-06,-2.39286E-06,-12.41828262,0,0,-1.23161E-05,3.13424E-05
0.000107071,37.6901663,-4.00634E-06,-2.38616E-06,-12.79488998,0,0,-1.24493E-05,3.10039E-05
0.000107033,37.71052184,-4.00885E-06,-2.38018E-06,-13.17169729,0,0,-1.25851E-05,3.06678E-05
0.000106976,37.73082498,-4.01558E-06,-2.37466E-06,-13.54870427,0,0,-1.27228E-05,3.03287E-05
0.000106888,37.75108718,-4.02641E-06,-2.36933E-06,-13.9259108,0,0,-1.28615E-05,2.99818E-05
0.000106755,37.77131895,-4.04097E-06,-2.3639E-06,-14.30331687,0,0,-1.30006E-05,2.96219E-05
0.000106565,37.79152953,-4.05864E-06,-2.35808E-06,-14.68092259,0,0,-1.3139E-05,2.9244E-05
0.000106306,37.81172654,-4.07892E-06,-2.35158E-06,-15.05872818,0,0,-1.32762E-05,2.88434E-05
0.000105967,37.83191552,-4.10122E-06,-2.34412E-06,-15.43673393,0,0,-1.34112E-05,2.84162E-05
0.000105539,37.85209951,-4.12487E-06,-2.33547E-06,-15.81494017,0,0,-1.35433E-05,2.79588E-05
0.000105012,37.87227936,-4.14916E-06,-2.32538E-06,-16.19334727,0,0,-1.36718E-05,2.74683E-05
0.000104382,37.89245543,-4.17328E-06,-2.31367E-06,-16.57195559,0,0,-1.3796E-05,2.69429E-05
0.000103642,37.91262808,-4.19649E-06,-2.30018E-06,-16.95076546,0,0,-1.39153E-05,2.63813E-05
0.000102792,37.93279769,-4.21808E-06,-2.28478E-06,-17.32977717,0,0,-1.40292E-05,2.57829E-05
0.000101831,37.95296457,-4.23746E-06,-2.2674E-06,-17.70899103,0,0,-1.41373E-05,2.51479E-05
0.00010076,37.973129,-4.25414E-06,-2.24798E-06,-18.08840727,0,0,-1.42393E-05,2.44773E-05
9.95825E-05,37.99329121,-4.26773E-06,-2.22651E-06,-18.46802612,0,0,-1.43347E-05,2.37725E-05
9.83048E-05,38.01345142,-4.27801E-06,-2.20304E-06,-18.84784779,0,0,-1.44235E-05,2.30358E-05
9.69339E-05,38.03360982,-4.28498E-06,-2.17763E-06,-19.22787243,0,0,-1.45055E-05,2.22702E-05
9.54784E-05,38.05376662,-4.28862E-06,-2.15039E-06,-19.6081002,0,0,-1.45806E-05,2.14793E-05
9.39486E-05,38.07392198,-4.28874E-06,-2.12147E-06,-19.98853122,0,0,-1.46488E-05,2.06674E-05
9.23557E-05,38.09407604,-4.28536E-06,-2.09103E-06,-20.36916556,0,0,-1.47104E-05,1.98386E-05
9.0712E-05,38.11422891,-4.27867E-06,-2.05928E-06,-20.7500033,0,0,-1.47656E-05,1.89976E-05
8.90307E-05,38.13438067,-4.2691E-06,-2.02644E-06,-21.13104449,0,0,-1.48147E-05,1.81495E-05
8.73254E-05,38.15453136,-4.25697E-06,-1.99278E-06,-21.51228914,0,0,-1.4858E-05,1.73E-05
8.56106E-05,38.17468104,-4.2425E-06,-1.95857E-06,-21.89373724,0,0,-1.4896E-05,1.6455E-05
