Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
1.86178E-06,44.4551,-4.97038E-06,-3.67E-10,0,0,-1.33572E-06,0,0
3.25914E-06,44.45708257,-4.96237E-06,-4.659E-09,0.129937122,-0.592609019,1.51298E-05,0.543067981,1.61207E-07
6.60803E-06,44.45610412,-4.9221E-06,-2.6159E-08,0.109544565,-0.49960393,1.25457E-05,0.464135808,0.000189338
1.31397E-05,44.45241876,-4.79056E-06,-6.7917E-08,0.089151899,-0.406598347,9.96152E-06,0.382855369,0.00114781
2.85881E-05,44.44817153,-4.37059E-06,-1.00176E-07,0.068760565,-0.313598843,7.37755E-06,0.299234518,0.003170756
6.18531E-05,44.4462551,-3.28124E-06,-1.8796E-08,0.048371265,-0.220608608,4.79384E-06,0.213278632,0.006194904
0.000121033,44.44856385,-9.27265E-07,3.87223E-07,0.027983411,-0.127624975,2.21031E-06,0.12498778,0.009875549
0.000210363,44.4554649,3.48109E-06,1.4549E-06,0.007595272,-0.034640038,-3.73251E-07,0.034356607,0.013773319
0.000326166,44.4664984,1.08273E-05,3.64527E-06,-0.278964967,-0.00020752,-1.49047E-06,0.00020253,0.017258961
0.000453588,44.48091705,2.19113E-05,7.50928E-06,-0.723593215,-0.000537994,-3.86606E-06,0.000531351,0.019719702
0.000564746,44.49784608,3.72225E-05,1.36129E-05,-1.168361381,-0.000867787,-1.98327E-06,0.000858959,0.021049262
0.000621665,44.5162323,5.67462E-05,2.24395E-05,-1.613298772,-0.001197624,1.80001E-05,0.001186076,0.021543565
0.00058687,44.53501792,7.99491E-05,3.4312E-05,-2.058423917,-0.001531089,4.115E-05,0.001516345,0.021847902
0.000436083,44.55348501,0.000106021,4.93851E-05,-2.503743838,-0.001872535,5.75387E-05,0.001854214,0.02210001
0.000160782,44.57139256,0.000133995,6.76936E-05,-2.949256451,-0.002225823,5.86032E-05,0.002203617,0.022304553
