Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.throttle,driver_demands.brake
3.14342E-05,0.263669126,-0.019410327,5.58532E-05,-2.49233E-05,-1.33572E-06,0,4362.605366,0,0
0.00019081,0.074554844,0.023672726,0.000307466,-0.000176944,1.51298E-05,0.543067981,4365.931105,5.99885E-05,0
0.000306573,-0.261022244,0.052887728,0.000816638,-0.000217155,1.25457E-05,0.464135808,4358.890248,0.067924194,0
0.000762099,-0.437841571,0.082157259,0.00273101,5.92163E-05,9.96152E-06,0.382855369,4362.510849,0.401072975,0
0.00232538,-0.351756966,0.019601386,0.006434557,0.00111564,7.37755E-06,0.299234518,4383.053587,12.54288507,0
0.005474241,0.006471611,-0.066224196,0.01239566,0.003267361,4.79384E-06,0.213278632,4410.177866,23.69014644,0
0.010542348,0.467562168,-0.180260795,0.020401556,0.006714837,2.21031E-06,0.12498778,4435.373431,36.49315137,0
0.017516352,0.912061238,-0.285974936,0.029416938,0.011435971,-3.73251E-07,0.034356607,4456.474469,48.95220459,0
0.025934745,1.290306266,-0.362013147,0.037668862,0.01708855,-1.49047E-06,0.00020253,4472.000194,59.39654443,0
0.034810851,1.587627508,-0.396438489,0.042828301,0.022880248,-3.86606E-06,0.000531351,4480.740265,66.50522738,0
0.042705403,1.789083221,-0.385513366,0.042753934,0.027786985,-1.98327E-06,0.000858959,4481.790486,69.54660128,0
0.048451368,1.879909704,-0.340779343,0.037200533,0.03098323,1.80001E-05,0.001186076,4477.680411,70.38582463,0
0.05197559,1.876945874,-0.277681475,0.02901023,0.032421052,4.115E-05,0.001516345,4473.369006,70.90088359,0
0.054336273,1.826389146,-0.211372833,0.019133985,0.032649151,5.75387E-05,0.001854214,4471.919281,71.41855279,0
0.056352234,1.772952842,-0.152368656,0.008784323,0.032191143,5.86032E-05,0.002203617,4473.663168,72.03567704,0
0.058439674,1.741289561,-0.105443787,-0.000785009,0.031316403,5.93033E-05,0.002564404,4477.260424,72.62424133,0
0.060765196,1.733315851,-0.070477694,-0.00819177,0.030176956,5.95028E-05,0.002936601,4481.374438,73.31653044,0
0.06334905,1.739893488,-0.044349445,-0.014701422,0.028826612,5.95359E-05,0.003320117,4485.203596,74.06683727,0
0.066144021,1.749458651,-0.021357596,-0.018675258,0.027336255,5.86097E-05,0.003714952,4488.449711,74.82165564,0
0.069129224,1.755063687,0.000996224,-0.020476315,0.025688835,5.73646E-05,0.004120869,4491.373186,75.69805187,0
0.072253081,1.754593455,0.025526864,-0.020358706,0.023896731,5.65692E-05,0.004536645,4493.858687,76.32330969,0
0.075469981,1.748545842,0.048526041,-0.018724316,0.021980322,5.61158E-05,0.004961593,4496.565594,77.305555,0
0.078746904,1.742987755,0.071197033,-0.015982803,0.019979616,5.59539E-05,0.005395003,4499.620776,78.26782675,0
0.08205673,1.73999273,0.091438274,-0.01254987,0.017936319,5.63348E-05,0.005836627,4502.921342,79.31821665,0
0.085376023,1.739533774,0.109327351,-0.008811724,0.015886458,5.6418E-05,0.006285614,4506.271159,80.33601987,0
0.08868497,1.740171273,0.124180067,-0.005103484,0.013855873,5.54813E-05,0.006740927,4509.653699,81.43268247,0
0.091968617,1.741507167,0.136597451,-0.001698514,0.011865426,5.43668E-05,0.007201635,4513.058436,82.54388892,0
0.095240737,1.74290746,0.148099964,0.000115652,0.009922073,5.30054E-05,0.007666762,4516.379174,83.60478959,0
0.098416975,1.743949819,0.156330654,0.004180878,0.008060121,5.16053E-05,0.008135917,4519.708257,84.72575977,0
0.101591965,1.745123779,0.162124414,0.004662602,0.006282618,5.19994E-05,0.00860757,4523.002557,85.78296514,0
0.104701718,1.746342622,0.166433464,0.00580529,0.004611172,5.34136E-05,0.009081008,4526.324449,86.88528225,0
0.107757316,1.746723128,0.170734906,0.006322424,0.003032737,5.35526E-05,0.009555859,4529.283955,87.66378168,0
0.110754537,1.744848589,0.171548905,0.006126536,0.001540571,5.18864E-05,0.010031555,4532.337969,88.72435173,0
0.113690683,1.744153674,0.171085327,0.005373825,0.000145827,5.06075E-05,0.010507824,4535.543138,89.69437606,0
0.116563263,1.745337902,0.168327751,0.004156768,-0.001144756,5.04414E-05,0.01098323,4538.812315,90.68013645,0
0.11936906,1.748466089,0.16380586,0.002588204,-0.002328532,5.02774E-05,0.011457224,4542.067637,91.62071628,0
0.122103211,1.752522123,0.158115366,0.000836822,-0.003407527,4.95771E-05,0.011929296,4545.155191,92.4550555,0
0.124759542,1.756441561,0.151039226,-0.000975237,-0.004389487,4.87742E-05,0.012398952,4548.142285,93.29469231,0
0.127331445,1.760197057,0.143532055,-0.002751523,-0.005279686,4.90604E-05,0.012866106,4550.988597,94.02106449,0
0.129811166,1.763591484,0.135056254,-0.004418347,-0.006082857,4.97077E-05,0.013329873,4553.770636,94.74478674,0
0.132190995,1.767006727,0.126318643,-0.005919192,-0.006799844,4.75631E-05,0.01378998,4556.43773,95.34900428,0
0.134463567,1.770314317,0.116678418,-0.007214597,-0.007432376,4.28381E-05,0.014245675,4559.049579,95.94562405,0
0.13662264,1.772655777,0.108132313,-0.00828018,-0.007981299,4.4489E-05,0.014695822,4561.223802,96.17472875,0
0.138661052,1.772601945,0.09755337,-0.009105593,-0.008455699,6.00911E-05,0.015141079,4563.418466,96.64503635,0
0.140573484,1.773233479,0.08730243,-0.009689724,-0.00885176,6.0698E-05,0.015583633,4565.707397,96.99397674,0
0.142355391,1.775157794,0.076398259,-0.010023574,-0.009168234,7.17132E-06,0.016022452,4568.024871,97.33340827,0
0.144004115,1.778453386,0.065289271,-0.01012177,-0.009404918,-4.55575E-05,0.016447574,4570.310879,97.61224701,0
0.145519044,1.782192895,0.054433353,-0.010082978,-0.009565676,-8.74183E-06,0.016849278,4572.427034,97.78000784,0
0.146898584,1.785354228,0.043500334,-0.009879517,-0.009656696,5.25294E-05,0.017233398,4574.449873,97.95626926,0
0.148142613,1.787836023,0.033394956,-0.009543481,-0.009682722,6.24193E-05,0.017611709,4576.354379,98.0356528,0
0.14925255,1.789357894,0.023602945,-0.009113963,-0.009648644,4.38763E-05,0.017986171,4578.234368,98.13834513,0
0.150231752,1.78908809,0.016110752,-0.008627872,-0.009556656,3.56523E-05,0.018353371,4579.742396,97.91655838,0
0.151092356,1.785819731,0.007391904,-0.008904275,-0.009449058,4.07072E-05,0.018711559,4581.361351,97.98869979,0
0.151831245,1.782858876,0.000367992,-0.007797619,-0.009238323,4.3937E-05,0.0190619,4583.186659,98.00258157,0
0.152450807,1.781346034,-0.006717372,-0.007297742,-0.00898027,4.25308E-05,0.019404602,4585.155798,98.06774068,0
0.152954153,1.78138408,-0.013257834,-0.006938851,-0.008671319,4.09251E-05,0.019739303,4587.121379,98.07586875,0
0.153348862,1.782139919,-0.019714567,-0.006567322,-0.008320361,3.97869E-05,0.020065668,4589.086328,98.13852225,0
0.153642689,1.783484301,-0.025519119,-0.00614934,-0.007935073,3.88068E-05,0.020383464,4591.04628,98.20111963,0
0.153842498,1.784843237,-0.030309606,-0.005694398,-0.007522559,3.89348E-05,0.020692785,4592.903723,98.20874787,0
0.15395416,1.785671953,-0.034601836,-0.005229762,-0.007090164,3.93746E-05,0.020993603,4594.748715,98.2726348,0
0.153983803,1.785119279,-0.036475184,-0.004778974,-0.006641345,3.91347E-05,0.021285847,4596.229624,98.03608117,0
0.153935246,1.78196054,-0.039202923,-0.004356946,-0.00618777,3.84564E-05,0.021569528,4597.820596,98.10484502,0
0.153813366,1.779419106,-0.040677384,-0.003977363,-0.005726678,3.78695E-05,0.021844587,4599.605939,98.11800395,0
0.15362389,1.778293801,-0.042101762,-0.003641372,-0.005257901,3.74142E-05,0.022111062,4601.518685,98.18212137,0
0.153373151,1.778548655,-0.043007935,-0.003348135,-0.004782655,3.70222E-05,0.022369214,4603.420755,98.19041121,0
0.153067238,1.779347321,-0.043956328,-0.003088485,-0.004306049,3.67806E-05,0.022618708,4605.324282,98.25276255,0
0.152711857,1.780375535,-0.044191959,-0.002855645,-0.003833577,3.63696E-05,0.022859599,4607.161256,98.26135993,0
0.152311986,1.78112841,-0.044257713,-0.002643093,-0.00337126,3.51598E-05,0.023091904,4608.996394,98.32469236,0
0.151872278,1.781998258,-0.043793432,-0.00244389,-0.002922722,3.38652E-05,0.02331551,4610.858728,98.38816094,0
0.151396973,1.782831208,-0.042638807,-0.002255424,-0.002491149,3.37343E-05,0.023530542,4612.658891,98.39725561,0
0.150890111,1.783295673,-0.041425274,-0.0020718,-0.002080015,3.39382E-05,0.023736937,4614.47653,98.46125323,0
0.15035537,1.782573026,-0.038295758,-0.001892637,-0.001691843,3.44071E-05,0.023934739,4615.947537,98.22529258,0
0.14979424,1.779389455,-0.036493604,-0.001717478,-0.001335565,3.50099E-05,0.024124162,4617.534594,98.29366858,0
0.149209514,1.776893846,-0.033905205,-0.001542542,-0.001007308,3.41355E-05,0.024305432,4619.3172,98.30742144,0
0.148604679,1.775826086,-0.031689258,-0.001371866,-0.000704847,3.13692E-05,0.024478508,4621.226221,98.37144994,0
0.147983784,1.776108103,-0.029360682,-0.001204591,-0.00042602,3.00804E-05,0.024643264,4623.125795,98.38070194,0
0.147349389,1.776894087,-0.027455801,-0.00104076,-0.000174033,3.20522E-05,0.024799253,4625.029162,98.44323448,0
0.146703602,1.777873247,-0.025231476,-0.000881918,4.94997E-05,3.32502E-05,0.024946951,4626.870762,98.4529345,0
0.146048281,1.778560566,-0.023220535,-0.000726741,0.000241502,3.0719E-05,0.025086652,4628.714968,98.51650055,0
0.145385252,1.779357674,-0.021064226,-0.000579417,0.000401775,2.79332E-05,0.025218006,4630.5902,98.58020888,0
0.144716945,1.779014282,-0.017309207,-0.000438921,0.000531201,2.89957E-05,0.025340672,4632.086789,98.34395278,0
0.144044027,1.776046885,-0.015098573,-0.000306672,0.000623015,3.09165E-05,0.02545504,4633.683836,98.41223638,0
0.143367841,1.773594536,-0.012291334,-0.000186429,0.000683646,3.00973E-05,0.025561326,4635.472493,98.4268631,0
0.14268945,1.772461506,-0.010036101,-7.86607E-05,0.000717199,2.79956E-05,0.025659464,4637.389293,98.49119925,0
0.142010006,1.772638774,-0.00785931,1.21895E-05,0.000727206,2.74489E-05,0.025749136,4639.301635,98.50145783,0
