Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
2.07908E-06,49.9922,-4.94854E-06,-4.55E-10,0,0,1.30538E-07,0,0
3.56974E-06,49.99418431,-4.93902E-06,-5.006E-09,2.82711831,-0.000154641,-1.47189E-05,0.000152693,1.54681E-06
7.55373E-06,49.99331081,-4.88023E-06,-2.6842E-08,-2.326824585,-0.028876256,1.30538E-07,-0.028880444,0.001800247
2.42159E-05,49.98986923,-4.40094E-06,-3.9027E-08,-1.826963055,-0.022672897,1.30538E-07,-0.022676691,0.01081173
9.69234E-05,49.98569803,-1.88157E-06,1.9583E-07,-1.327128183,-0.016469868,1.30538E-07,-0.016473434,0.029598159
0.000341259,49.98214923,7.36779E-06,1.62092E-06,-0.82733534,-0.010267361,1.30538E-07,-0.010271197,0.057327777
0.000912591,49.9795718,3.18725E-05,6.65623E-06,-0.327582839,-0.004065354,1.30538E-07,-0.00407082,0.090628687
0.0018886,49.97822938,8.28854E-05,1.96391E-05,-0.172138917,-0.002136271,1.30538E-07,0.002126408,0.1245796
0.003175487,49.98183685,0.000172113,4.65485E-05,-0.671842162,-0.008337691,3.5083E-07,0.008319002,0.153899064
0.004482275,49.99174238,0.000308944,9.41535E-05,-1.171563353,-0.014539422,6.11779E-07,0.014505959,0.174368759
0.005363555,50.00596651,0.000497554,0.000168886,-1.671365971,-0.020742316,8.72772E-07,0.020687172,0.184467065
0.005319922,50.02222103,0.000735728,0.00027578,-2.171304059,-0.026947109,1.13384E-06,0.026863344,0.18702466
0.003927575,50.03882901,0.001015492,0.000417848,-2.671407487,-0.033154238,1.39498E-06,0.033035725,0.187803012
0.000947676,50.05489735,0.001325024,0.000596142,-3.171685328,-0.039363881,1.65622E-06,0.039205716,0.188030759
-0.003674847,50.07022772,0.001651573,0.000810399,-3.672133669,-0.045576055,1.91755E-06,0.045374339,0.187764139
-0.009891003,50.0850224,0.001982807,0.001059601,-4.172743715,-0.051790717,2.17897E-06,0.051541708,0.187047232
-0.017602556,50.09957737,0.002307423,0.001342293,-4.673507562,-0.058007835,2.44046E-06,0.057706897,0.185916333
-0.02669025,50.11409661,0.002616128,0.001656755,-5.174420549,-0.064227414,2.44524E-06,0.063867924,0.184404221
-0.037027827,50.12862489,0.002902188,0.002001084,-5.675480944,-0.070449431,2.047E-06,0.070021607,0.182542339
-0.04848719,50.14315367,0.003161611,0.002373233,-6.176688332,-0.076673787,1.63244E-06,0.07616353,0.180362579
-0.060939969,50.15767708,0.003392986,0.00277102,-6.678042448,-0.082900376,1.21776E-06,0.082288162,0.177897544
-0.074258303,50.17218842,0.00359714,0.003192146,-7.179542975,-0.089129089,8.02954E-07,0.088388983,0.175180293
-0.088315344,50.18668263,0.00377667,0.003634214,-7.681189518,-0.095359819,3.88029E-07,0.094458646,0.172244036
-0.102985977,50.20115816,0.003935401,0.004094756,-8.182981618,-0.101592454,-2.7016E-08,0.100489172,0.168570067
-0.118151121,50.21561707,0.004077744,0.004571256,-8.684918794,-0.107826884,-4.42181E-07,0.106472162,0.164708476
-0.133695678,50.23006392,0.004208282,0.005061142,-9.187000589,-0.114062999,-8.57465E-07,0.112399031,0.160692357
-0.149500674,50.24450437,0.004331296,0.005561836,-9.689226614,-0.120300689,-1.27287E-06,0.118261182,0.156554225
-0.165449756,50.25893614,0.00445068,0.006070786,-10.19159655,-0.126539848,-1.44647E-06,0.124050193,0.152325101
-0.181428541,50.27330322,0.004569864,0.006585493,-10.69411009,-0.13278043,-1.28844E-06,0.129757915,0.148034544
-0.197326416,50.2875949,0.004691275,0.00710353,-11.19676663,-0.139022463,-1.12011E-06,0.135376591,0.14371085
-0.213037476,50.30185445,0.004816517,0.007622569,-11.69956525,-0.145265977,-9.51731E-07,0.140898912,0.139380571
