Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle_States.side_slip,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
1.90394E-06,45.5175,-4.96662E-06,-3.84E-10,4.1829E-08,0,0,4.0848E-08,0,0
3.32102E-06,45.51948296,-4.95852E-06,-4.734E-09,7.2958E-08,2.831598448,0.000196878,-8.344E-09,-0.000198826,1.0719E-08
6.67099E-06,45.51852511,-4.92018E-06,-2.6583E-08,1.46555E-07,-2.376410079,-0.000166736,4.0848E-08,-0.000168701,1.25388E-05
1.18094E-05,45.51488799,-4.83722E-06,-7.3315E-08,2.59462E-07,-1.921218983,-0.000134798,4.0848E-08,-0.00013684,7.57842E-05
1.8995E-05,45.51052263,-4.69267E-06,-1.45874E-07,4.17377E-07,-1.466056133,-0.000102863,4.0848E-08,-0.000105062,0.000208873
2.89281E-05,45.5069056,-4.45861E-06,-2.36732E-07,6.35686E-07,-1.010937441,-7.09302E-05,4.0848E-08,-7.33809E-05,0.000407402
4.22965E-05,45.50440639,-4.09344E-06,-3.27033E-07,9.29504E-07,-0.555860397,-3.90007E-05,4.0848E-08,-4.18017E-05,0.000648658
5.92182E-05,45.50266379,-3.54517E-06,-3.86045E-07,1.30142E-06,-0.10081389,-7.07339E-06,4.0848E-08,-1.03277E-05,0.000898093
7.88718E-05,45.50198242,-2.76022E-06,-3.73826E-07,1.73337E-06,-0.354212082,-2.48536E-05,5.7876E-08,2.10418E-05,0.001117633
9.91536E-05,45.50790796,-1.69269E-06,-2.44646E-07,2.17882E-06,-0.809227298,-5.67915E-05,1.32222E-07,5.23193E-05,0.001275982
0.0001165,45.52201987,-3.30934E-07,5.1777E-08,2.55921E-06,-1.264277552,-8.87585E-05,2.06574E-07,8.35313E-05,0.001360382
0.000127704,45.54094058,1.29054E-06,5.60871E-07,2.80415E-06,-1.719446483,-0.000120778,2.80946E-07,0.000114733,0.001389705
0.000130248,45.56133543,3.11556E-06,1.30998E-06,2.85874E-06,-2.174798854,-0.000152869,3.55348E-07,0.000145986,0.001405901
0.000122546,45.58116832,5.07722E-06,2.31062E-06,2.68853E-06,-2.630362392,-0.000185048,4.29784E-07,0.000177336,0.001418137
0.000104275,45.5996849,7.09962E-06,3.56364E-06,2.28674E-06,-3.086137482,-0.000217331,5.04254E-07,0.000208812,0.001426881
7.58016E-05,45.61708086,9.12369E-06,5.0639E-06,1.66169E-06,-3.542110942,-0.000249731,5.78757E-07,0.000240434,0.001432499
3.77488E-05,45.63393291,1.10947E-05,6.80292E-06,8.2721E-07,-3.998267939,-0.000282264,6.5329E-07,0.000272208,0.001435264
-9.11192E-06,45.65072982,1.29654E-05,8.77011E-06,-1.99601E-07,-4.454598864,-0.00031495,7.27852E-07,0.00030414,0.001435403
-6.3968E-05,45.66769742,1.47026E-05,1.09532E-05,-1.40073E-06,-4.911100261,-0.0003478,8.01108E-07,0.000336215,0.001433159
-0.000126034,45.68484284,1.62851E-05,1.33384E-05,-2.75877E-06,-5.367772483,-0.000380827,8.58802E-07,0.000368415,0.00142879
-0.000194564,45.70203946,1.77099E-05,1.59114E-05,-4.25724E-06,-5.824616948,-0.000414044,9.1077E-07,0.000400712,0.001422526
-0.000268801,45.719193,1.89868E-05,1.86573E-05,-5.87939E-06,-6.281634263,-0.000447462,9.62758E-07,0.000433072,0.001414598
-0.000347986,45.73628994,2.0134E-05,2.15604E-05,-7.60852E-06,-6.738823799,-0.000481095,1.01477E-06,0.000465457,0.00140525
-0.000431362,45.75335143,2.11763E-05,2.46045E-05,-9.42798E-06,-7.196184419,-0.000514959,1.06679E-06,0.00049783,0.001394725
-0.000518182,45.77040279,2.21423E-05,2.77733E-05,-1.13213E-05,-7.653715068,-0.000549056,1.11884E-06,0.000530137,0.001383255
-0.000607716,45.78746071,2.30617E-05,3.10504E-05,-1.32725E-05,-8.111414969,-0.000583399,1.1709E-06,0.000562333,0.001371065
-0.000699255,45.80453266,2.39628E-05,3.44198E-05,-1.52661E-05,-8.569283598,-0.000617998,1.22299E-06,0.000594368,0.001358387
-0.000792118,45.82162105,2.48704E-05,3.78657E-05,-1.7287E-05,-9.027320604,-0.000652864,1.27509E-06,0.000626198,0.001345397
-0.000885655,45.83872714,2.58049E-05,4.13732E-05,-1.93211E-05,-9.485525734,-0.000688012,1.32722E-06,0.000657782,0.001332277
-0.000979258,45.8558531,2.67808E-05,4.49281E-05,-2.13551E-05,-9.943898809,-0.000723459,1.37868E-06,0.000689085,0.001319196
-0.001072335,45.87299298,2.78122E-05,4.85169E-05,-2.33762E-05,-10.4024397,-0.000759207,1.42304E-06,0.000720056,0.001306309
-0.00116436,45.89007958,2.88981E-05,5.21273E-05,-2.53728E-05,-10.86114829,-0.000795264,1.46556E-06,0.000750659,0.001293753
-0.001254832,45.90709473,3.00386E-05,5.57474E-05,-2.73342E-05,-11.32002412,-0.000831641,1.50809E-06,0.000780859,0.001281665
-0.001343286,45.92408447,3.12289E-05,5.93666E-05,-2.92502E-05,-11.77906633,-0.000868346,1.55064E-06,0.000810623,0.001270176
-0.001429304,45.94109756,3.24603E-05,6.2975E-05,-3.11117E-05,-12.23827433,-0.000905393,1.59321E-06,0.000839927,0.001259392
-0.001512515,45.9581632,3.37215E-05,6.65638E-05,-3.29107E-05,-12.69764811,-0.000942798,1.63579E-06,0.000868751,0.001249389
-0.001592597,45.9752912,3.49997E-05,7.01253E-05,-3.46403E-05,-13.15718809,-0.00098056,1.67838E-06,0.000897061,0.001240244
-0.001669274,45.99248016,3.62815E-05,7.36524E-05,-3.62945E-05,-13.61689494,-0.001018688,1.72099E-06,0.000924836,0.001232024
-0.001742311,46.00972542,3.75528E-05,7.71392E-05,-3.78683E-05,-14.07676939,-0.00105719,1.76362E-06,0.000952055,0.001224788
-0.00181151,46.0270233,3.8801E-05,8.05801E-05,-3.93575E-05,-14.53681214,-0.001096077,1.80626E-06,0.000978703,0.001218589
-0.001876712,46.04437229,4.00144E-05,8.39705E-05,-4.07588E-05,-14.99702389,-0.001135359,1.84959E-06,0.001004765,0.001213468
-0.001937797,46.06176657,4.11829E-05,8.73064E-05,-4.20695E-05,-15.45740533,-0.001175061,1.89912E-06,0.001030243,0.001209474
-0.001994675,46.07916146,4.22982E-05,9.05845E-05,-4.3288E-05,-15.91795713,-0.001215179,1.94939E-06,0.00105511,0.001206625
-0.002047293,46.09654182,4.33537E-05,9.38019E-05,-4.44132E-05,-16.37867965,-0.001255722,1.99967E-06,0.001079358,0.001204933
-0.002095625,46.11393241,4.43445E-05,9.69565E-05,-4.54445E-05,-16.83957299,-0.001296702,2.04998E-06,0.001102976,0.001204408
-0.002139681,46.13136056,4.52678E-05,0.000100047,-4.63824E-05,-17.30063736,-0.001338129,2.1003E-06,0.001125961,0.001205048
-0.002179504,46.14884177,4.61218E-05,0.000103072,-4.72277E-05,-17.76187329,-0.001380015,2.15064E-06,0.001148306,0.001206837
-0.002215166,46.16637869,4.69065E-05,0.000106031,-4.79822E-05,-18.22328154,-0.001422385,2.201E-06,0.001170024,0.001209753
-0.002246765,46.18396538,4.76233E-05,0.000108925,-4.86482E-05,-18.68486293,-0.001465244,2.25138E-06,0.001191106,0.001213765
-0.00227442,46.2015921,4.82744E-05,0.000111755,-4.92282E-05,-19.14661828,-0.001508596,2.30178E-06,0.001211545,0.001218848
-0.002298272,46.21924848,4.8863E-05,0.000114522,-4.97254E-05,-19.60854832,-0.001552452,2.3522E-06,0.001231344,0.001224968
-0.002318478,46.236919,4.93927E-05,0.000117227,-5.01434E-05,-20.07065364,-0.001596823,2.4028E-06,0.001250504,0.001232067
-0.00233521,46.25455131,4.98678E-05,0.000119872,-5.04861E-05,-20.5329347,-0.001641721,2.45396E-06,0.001269031,0.001240096
-0.002348653,46.27212492,5.02924E-05,0.00012246,-5.07574E-05,-20.99539154,-0.00168716,2.50519E-06,0.001286933,0.001249006
-0.002358998,46.2896626,5.0671E-05,0.000124994,-5.09617E-05,-21.45802383,-0.00173317,2.55644E-06,0.001304237,0.001258746
-0.002366453,46.30719362,5.10078E-05,0.000127477,-5.11034E-05,-21.92083129,-0.001779741,2.60771E-06,0.00132093,0.001269254
-0.002371202,46.32473821,5.13025E-05,0.000129911,-5.11865E-05,-22.38381395,-0.001826885,2.659E-06,0.001337022,0.001280467
-0.002373318,46.3423047,5.15223E-05,0.0001323,-5.12128E-05,-22.84697206,-0.001874613,2.7103E-06,0.001352526,0.00129236
-0.002373267,46.35989194,5.17455E-05,0.000134649,-5.11922E-05,-23.310306,-0.001922938,2.76163E-06,0.001367458,0.001304843
-0.002371328,46.37749576,5.19468E-05,0.000136962,-5.1131E-05,-23.77381618,-0.00197187,2.81297E-06,0.001381818,0.001317756
-0.00236773,46.39511261,5.21186E-05,0.000139245,-5.1034E-05,-24.23750292,-0.002021431,2.86434E-06,0.001395637,0.001331094
-0.002362672,46.41274032,5.22685E-05,0.0001415,-5.09057E-05,-24.70136649,-0.00207164,2.91572E-06,0.00140894,0.001344815
-0.002356348,46.43037246,5.24067E-05,0.000143732,-5.07502E-05,-25.16540713,-0.002122492,2.96743E-06,0.001421725,0.001358869
-0.002348957,46.44796562,5.25408E-05,0.000145943,-5.05718E-05,-25.62962498,-0.002174,3.01962E-06,0.001434005,0.0013732
-0.002340693,46.46550461,5.2675E-05,0.000148139,-5.03749E-05,-26.09401988,-0.002226174,3.07185E-06,0.001445794,0.00138775
-0.002331755,46.48301321,5.28107E-05,0.000150324,-5.01636E-05,-26.55859135,-0.002279027,3.12409E-06,0.001457108,0.001402463
-0.002322336,46.50051913,5.29472E-05,0.0001525,-4.99421E-05,-27.02333901,-0.002332571,3.17636E-06,0.001467962,0.001417279
-0.002312629,46.51804019,5.30827E-05,0.000154672,-4.97147E-05,-27.48826276,-0.002386826,3.22865E-06,0.001478384,0.001432148
-0.002302821,46.53558287,5.3215E-05,0.000156846,-4.94852E-05,-27.9533627,-0.002441816,3.28096E-06,0.001488401,0.001447015
-0.00229309,46.55314607,5.3342E-05,0.000159023,-4.92575E-05,-28.41863904,-0.002497533,3.33329E-06,0.001498012,0.001461812
-0.002283606,46.5707257,5.34623E-05,0.000161209,-4.90352E-05,-28.88409203,-0.002553989,3.38563E-06,0.001507234,0.001476491
-0.002274526,46.58831783,5.35748E-05,0.000163407,-4.88218E-05,-29.34972183,-0.002611196,0.000003438,0.001516084,0.001491007
-0.002265998,46.60591998,5.36795E-05,0.00016562,-4.86204E-05,-29.81552857,-0.002669167,3.49026E-06,0.001524578,0.001505321
-0.002258157,46.62352562,5.37768E-05,0.000167852,-4.84338E-05,-30.28151234,-0.002727913,3.53961E-06,0.001532731,0.001519396
-0.002251122,46.64109165,5.38681E-05,0.000170106,-4.82648E-05,-30.74767314,-0.002787448,3.58675E-06,0.00154056,0.001533202
-0.002245002,46.65860313,5.3955E-05,0.000172383,-4.81155E-05,-31.2140107,-0.00284781,3.63392E-06,0.001548103,0.001546714
-0.002239887,46.6760839,5.40397E-05,0.000174687,-4.79879E-05,-31.68052443,-0.002908982,3.6811E-06,0.001555346,0.001559913
-0.002235858,46.69356163,5.41247E-05,0.000177019,-4.78836E-05,-32.14721384,-0.002970974,3.7283E-06,0.0015623,0.00157279
-0.002232987,46.71105398,5.42125E-05,0.000179381,-4.78043E-05,-32.61407875,-0.003033798,3.77552E-06,0.001568976,0.001585323
-0.002231338,46.72856731,5.43056E-05,0.000181775,-4.7751E-05,-33.08111918,-0.003097465,3.82275E-06,0.001575383,0.001597486
-0.002230961,46.74610041,5.44065E-05,0.000184203,-4.77251E-05,-33.5483353,-0.003161986,3.87001E-06,0.001581533,0.001609266
-0.002231897,46.76364923,5.45174E-05,0.000186665,-4.77272E-05,-34.01572726,-0.003227372,3.91728E-06,0.001587434,0.001620656
-0.002234175,46.78120988,5.46403E-05,0.000189163,-4.77579E-05,-34.48329519,-0.003293651,3.96457E-06,0.001593111,0.00163165
-0.002237812,46.79878,5.47767E-05,0.000191697,-4.78177E-05,-34.95103918,-0.003360834,4.01229E-06,0.001598574,0.001642249
-0.002242815,46.81635036,5.49279E-05,0.000194269,-4.79067E-05,-35.41895927,-0.003428916,4.06444E-06,0.001603814,0.001652452
-0.002249181,46.83385656,5.50948E-05,0.000196878,-4.80247E-05,-35.88705544,-0.003497911,4.11763E-06,0.001608839,0.001662264
-0.002256892,46.85127612,5.52779E-05,0.000199524,-4.81714E-05,-36.35532723,-0.00356783,4.17085E-06,0.001613658,0.001671701
-0.002265918,46.86864451,5.54775E-05,0.000202208,-4.83461E-05,-36.82377372,-0.003638686,4.22408E-06,0.001618279,0.001680777
-0.002276224,46.88600291,5.56934E-05,0.00020493,-4.85481E-05,-37.29239418,-0.003710492,4.27734E-06,0.001622708,0.001689523
-0.002287774,46.90337764,5.59255E-05,0.000207688,-4.87763E-05,-37.76118829,-0.003783259,4.33061E-06,0.001626952,0.001697924
-0.002300526,46.92077814,5.61732E-05,0.000210482,-4.903E-05,-38.23015609,-0.003857023,4.3839E-06,0.001631038,0.001705985
-0.002314436,46.93820266,5.64358E-05,0.000213313,-4.93082E-05,-38.6992978,-0.003931787,4.43722E-06,0.001634965,0.001713715
-0.002329456,46.95564518,5.67127E-05,0.000216179,-4.96097E-05,-39.16861365,-0.004007552,4.49055E-06,0.001638726,0.001721126
-0.002345528,46.97310005,5.70031E-05,0.000219079,-4.99334E-05,-39.63810385,-0.004084331,4.54391E-06,0.001642326,0.001728234
-0.002362594,46.99055833,5.73063E-05,0.000222013,-5.02781E-05,-40.1077685,-0.004162136,4.5918E-06,0.001645769,0.001735057
-0.002380587,47.00797655,5.76215E-05,0.00022498,-5.06422E-05,-40.57760767,-0.004240979,4.62663E-06,0.00164906,0.001741612
-0.002399435,47.0253399,5.79478E-05,0.000227978,-5.10243E-05,-41.04762107,-0.004320869,4.66048E-06,0.001652198,0.001747925
-0.002419061,47.04267191,5.82846E-05,0.000231007,-5.14227E-05,-41.51780815,-0.004401815,4.69434E-06,0.001655183,0.00175402
-0.002439389,47.05999991,5.8631E-05,0.000234064,-5.18357E-05,-41.98816846,-0.004483838,4.72821E-06,0.001658028,0.001759918
-0.002460344,47.07734149,5.89862E-05,0.000237148,-5.22617E-05,-42.45870182,-0.004566955,4.7621E-06,0.001660738,0.001765652
-0.002481853,47.09470307,5.93494E-05,0.000240258,-5.26992E-05,-42.92940832,-0.004651154,4.796E-06,0.001663293,0.001771242
-0.002503844,47.11208367,5.97198E-05,0.000243393,-5.31465E-05,-43.40028813,-0.004736442,4.82991E-06,0.00166569,0.001776701
-0.002526245,47.12947938,6.00967E-05,0.000246551,-5.36022E-05,-43.87134149,-0.00482283,4.86384E-06,0.001667929,0.00178205
-0.002548986,47.14688645,6.04793E-05,0.000249731,-5.40648E-05,-44.34256855,-0.004910325,4.89777E-06,0.001670007,0.001787315
-0.002571994,47.16430253,6.08671E-05,0.000252931,-5.45326E-05,-44.81396945,-0.004998937,4.93201E-06,0.001671924,0.001792519
-0.0025952,47.18172128,6.12592E-05,0.000256151,-5.50044E-05,-45.28554431,-0.005088674,4.97344E-06,0.001673678,0.001797685
-0.002618535,47.19910094,6.1655E-05,0.000259388,-5.54785E-05,-45.75729316,-0.005179546,5.02023E-06,0.001675269,0.001802838
-0.00264193,47.21642718,6.20539E-05,0.000262641,-5.59536E-05,-46.22921578,-0.005271592,5.06703E-06,0.001676724,0.001808006
-0.002665313,47.23372309,6.2455E-05,0.000265909,-5.64282E-05,-46.70131164,-0.005364807,5.11385E-06,0.001678028,0.001813215
-0.002688622,47.25101528,6.28579E-05,0.000269191,-5.69008E-05,-47.17358032,-0.005459192,5.16068E-06,0.001679172,0.001818481
-0.002711799,47.26832079,6.32617E-05,0.000272484,-5.73703E-05,-47.6460217,-0.005554759,5.20753E-06,0.001680159,0.001823817
-0.002734794,47.28564583,6.36659E-05,0.000275788,-5.78356E-05,-48.11863587,-0.00565152,5.2544E-06,0.001680989,0.001829231
-0.002757561,47.30298939,6.40696E-05,0.000279102,-5.82957E-05,-48.59142302,-0.005749487,5.30129E-06,0.001681664,0.001834752
-0.002780057,47.32034767,6.44725E-05,0.000282426,-5.87497E-05,-49.06438339,-0.005848672,5.34819E-06,0.001682187,0.001840376
-0.002802245,47.33771706,6.48738E-05,0.000285757,-5.91969E-05,-49.53751715,-0.005949086,5.39512E-06,0.00168256,0.001846109
-0.002824089,47.35508715,6.52731E-05,0.000289095,-5.96365E-05,-50.01082447,-0.006050741,5.44038E-06,0.001682784,0.001851959
-0.002845558,47.37239445,6.56699E-05,0.00029244,-6.00679E-05,-50.48430539,-0.006153671,5.47306E-06,0.001682883,0.001857935
-0.002866616,47.38961679,6.60637E-05,0.00029579,-6.04904E-05,-50.95795952,-0.006257876,5.50443E-06,0.001682851,0.001864054
-0.002887232,47.40678839,6.64541E-05,0.000299145,-6.09033E-05,-51.43178605,-0.006363351,5.53581E-06,0.001682672,0.00187033
-0.002907379,47.42394902,6.68407E-05,0.000302504,-6.13061E-05,-51.9057843,-0.006470105,5.56721E-06,0.001682345,0.001876768
-0.002927043,47.44112429,6.72232E-05,0.000305866,-6.16984E-05,-52.37995403,-0.006578144,5.59861E-06,0.001681871,0.001883369
-0.002946215,47.45832363,6.76012E-05,0.000309231,-6.20801E-05,-52.8542953,-0.006687479,5.63003E-06,0.001681248,0.001890133
-0.002964895,47.47554572,6.79743E-05,0.000312599,-0.000062451,-53.32880838,-0.006798117,5.66146E-06,0.001680477,0.001897059
-0.002983085,47.49278502,6.83424E-05,0.00031597,-6.28113E-05,-53.80349354,-0.006910067,5.6929E-06,0.00167956,0.001904149
-0.003000788,47.51003614,6.87054E-05,0.000319343,-6.31611E-05,-54.27835101,-0.007023337,5.72435E-06,0.001678497,0.001911404
-0.003018011,47.52729564,6.90633E-05,0.000322719,-6.35006E-05,-54.75338095,-0.007137936,5.75583E-06,0.001677289,0.001918826
-0.003034765,47.54455685,6.9416E-05,0.000326098,-6.38299E-05,-55.22858347,-0.007253904,5.79576E-06,0.001675968,0.001926424
-0.003051059,47.5617789,6.97637E-05,0.00032948,-6.41494E-05,-55.70395864,-0.007371225,5.84447E-06,0.001674513,0.001934201
-0.003066904,47.57894806,7.01063E-05,0.000332864,-6.44593E-05,-56.1795062,-0.007489906,5.89332E-06,0.001672923,0.001942151
-0.003082309,47.59608704,7.04439E-05,0.000336251,-6.47597E-05,-56.65522565,-0.007609961,5.94219E-06,0.001671204,0.001950277
-0.003097291,47.61322192,7.07768E-05,0.000339641,-6.50511E-05,-57.13111658,-0.0077314,5.99108E-06,0.001669363,0.001958574
-0.00311187,47.63036936,7.1105E-05,0.000343034,-6.53337E-05,-57.60717886,-0.007854238,6.03999E-06,0.001667404,0.001967035
-0.003126072,47.6475355,7.14287E-05,0.000346431,-6.56083E-05,-58.08341256,-0.007978486,6.08891E-06,0.001665334,0.00197565
-0.003139927,47.66471943,7.17479E-05,0.000349833,-6.58753E-05,-58.55981789,-0.008104157,6.13786E-06,0.00166316,0.001984409
-0.003153465,47.68191753,7.20631E-05,0.000353238,-6.61355E-05,-59.03639505,-0.008231264,6.18681E-06,0.001660889,0.001993306
-0.003166717,47.69912626,7.23744E-05,0.00035665,-6.63894E-05,-59.51314421,-0.008359819,6.23579E-06,0.001658527,0.002002334
-0.003179714,47.71634289,7.26823E-05,0.000360067,-6.66378E-05,-59.99006552,-0.00848985,6.28299E-06,0.001656097,0.002011485
-0.003192486,47.73356221,7.2987E-05,0.00036349,-6.68814E-05,-60.46715905,-0.008621376,6.3128E-06,0.00165361,0.002020754
-0.003205067,47.7507769,7.32889E-05,0.000366921,-6.71207E-05,-60.94442487,-0.008754383,6.34037E-06,0.00165105,0.002030133
-0.003217485,47.76798135,7.35884E-05,0.000370359,-6.73565E-05,-61.42186296,-0.00888888,6.36796E-06,0.001648418,0.002039618
-0.003229771,47.78517314,7.38858E-05,0.000373805,-6.75894E-05,-61.89947321,-0.009024875,6.39555E-06,0.001645716,0.002049203
-0.003241955,47.80235236,7.41815E-05,0.00037726,-6.782E-05,-62.3772555,-0.009162375,6.42315E-06,0.001642948,0.002058885
-0.003254065,47.81952017,7.44757E-05,0.000380725,-6.80489E-05,-62.8552097,-0.009301389,6.45077E-06,0.001640116,0.002068659
-0.00326613,47.83667788,7.47688E-05,0.000384199,-6.82767E-05,-63.33333567,-0.009441924,6.47839E-06,0.001637221,0.00207853
-0.003278179,47.85382635,7.50611E-05,0.000387684,-6.8504E-05,-63.81163332,-0.009583988,6.50603E-06,0.001634267,0.002088492
-0.00329024,47.87096594,7.53529E-05,0.00039118,-6.87314E-05,-64.29010253,-0.009727589,6.53367E-06,0.001631257,0.002098533
-0.00330234,47.88809665,7.56446E-05,0.000394688,-6.89595E-05,-64.76874321,-0.009872735,6.56152E-06,0.001628192,0.002108648
-0.003314505,47.90521831,7.59366E-05,0.000398209,-6.91888E-05,-65.24755527,-0.010019438,6.60459E-06,0.001625079,0.002118833
-0.003326761,47.92233071,7.62291E-05,0.000401742,-6.94199E-05,-65.72653861,-0.010167737,6.66236E-06,0.001621952,0.002129084
-0.003339133,47.9394337,7.65225E-05,0.000405289,-6.96532E-05,-66.20569313,-0.010317615,6.72018E-06,0.001618788,0.002139398
