Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,engine.engine_rpm,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance
3.13348E-05,0.263549555,-0.019357687,5.57776E-05,-2.50833E-05,4454.942893,7.932E-08,0
0.000192673,0.075118279,0.023708289,0.000312012,-0.000178671,4458.733407,-3.74599E-05,-0.000487837
0.000449479,-0.257774961,0.052639158,0.002354561,-9.16944E-05,4451.620807,7.932E-08,-0.015782519
0.002270634,-0.432989149,0.081646152,0.009736974,0.001171372,4455.082656,7.932E-08,-0.012769657
0.009249033,-0.413602535,0.079805059,0.031009147,0.006033607,4460.764137,7.932E-08,-0.009757112
0.027412042,-0.302154717,0.054185684,0.073134406,0.018418077,4465.164188,7.932E-08,-0.006745162
0.061735139,-0.200891132,0.024031134,0.13260493,0.041356836,4467.734754,7.932E-08,-0.003734191
0.111426864,-0.150619704,0.001344287,0.197833967,0.074039028,4469.125624,7.932E-08,-0.000724814
0.16998854,0.166491355,-0.296274808,0.252787667,0.111810033,4539.109984,1.09646E-07,0.002282181
0.228001414,1.050489302,-0.356229785,0.284800528,0.148592835,4592.901609,2.53624E-07,0.005286057
0.276119223,1.728294125,-0.451086274,0.277897962,0.17825535,4600.199,3.97614E-07,0.008286569
0.308900045,2.025414396,-0.480247216,0.239743395,0.196775875,4587.44911,5.41641E-07,0.011284185
0.327380839,2.048761952,-0.436383587,0.180092949,0.203881528,4571.673608,6.85726E-07,0.014279821
0.338125768,1.935346474,-0.344184319,0.101442953,0.202620072,4561.855465,8.29879E-07,0.017274439
0.346579032,1.80207629,-0.24077163,0.034392331,0.196696803,4560.178406,9.74099E-07,0.020268764
0.355395758,1.717482538,-0.159640355,-0.028971514,0.18791401,4564.23435,1.11838E-06,0.023263107
0.365712424,1.69205016,-0.108087824,-0.084109591,0.177445101,4570.352629,1.26272E-06,0.026257032
0.377760494,1.703201902,-0.078938946,-0.124220654,0.166045764,4575.993635,1.40712E-06,0.029249493
0.391306058,1.724471843,-0.059914309,-0.149348009,0.153980142,4580.306321,1.52885E-06,0.032238847
0.405918548,1.736642027,-0.038009607,-0.159807533,0.141377892,4582.550192,1.35971E-06,0.035222806
0.421411766,1.732134902,-0.017088351,-0.156948029,0.128021051,4584.616835,1.06084E-06,0.038198435
0.437452571,1.72375096,0.007760044,-0.143288756,0.11407969,4587.377109,7.61854E-07,0.041162213
0.45376343,1.71814909,0.033323062,-0.121964947,0.099745755,4590.610591,4.62755E-07,0.044110103
0.470094833,1.716428705,0.057429797,-0.096143994,0.085258776,4594.073349,1.63543E-07,0.047037651
0.486242301,1.717301999,0.079085232,-0.068706463,0.070836646,4597.58333,-1.35781E-07,0.049940149
0.502056999,1.719173034,0.098061455,-0.042043365,0.056662997,4601.058734,-4.35215E-07,0.052812766
0.517439135,1.721095637,0.11448805,-0.018020852,0.042879135,4604.495191,-7.3476E-07,0.055650668
0.532342584,1.72283347,0.129437947,0.001482908,0.029588023,4607.917753,-1.03442E-06,0.058449116
0.546684754,1.72454101,0.140640853,0.017662913,0.016872007,4611.347653,-1.33418E-06,0.061203572
0.560492227,1.726422603,0.150227866,0.027311553,0.004800766,4614.788998,-1.61429E-06,0.063909691
0.57373034,1.726093825,0.160628399,0.032244642,-0.006568519,4617.566374,-1.66093E-06,0.066563392
0.586304693,1.721162946,0.168169685,0.038013826,-0.017221757,4620.51652,-1.62038E-06,0.069160954
0.59841493,1.718166309,0.171489968,0.029687192,-0.02721727,4623.891525,-1.57982E-06,0.07169896
0.609842051,1.718996791,0.173152327,0.023553576,-0.036389725,4627.400221,-1.53925E-06,0.074174229
0.62063562,1.722675476,0.172830568,0.015311904,-0.044792924,4630.863785,-1.49866E-06,0.076583949
0.630789162,1.727634246,0.170686704,0.005026781,-0.052450451,4634.197328,-1.45805E-06,0.078925553
0.640284763,1.732743475,0.167020071,-0.006425054,-0.059409346,4637.384303,-1.41744E-06,0.081196704
0.649100334,1.737542616,0.162100612,-0.018207092,-0.065708761,4640.443236,-1.3768E-06,0.083395306
0.657212093,1.742034833,0.156111995,-0.029612275,-0.071338463,4643.398249,-1.33615E-06,0.085519474
0.664588803,1.746386804,0.149175025,-0.040107129,-0.076299227,4646.26434,-1.29549E-06,0.08756751
0.671195671,1.750741266,0.141367996,-0.049292442,-0.080596078,4649.045283,-1.2281E-06,0.089537891
0.677001147,1.75284456,0.135410149,-0.056909634,-0.084244135,4651.076989,-8.84793E-07,0.091429286
0.681966594,1.750321476,0.126120384,-0.062849758,-0.087313813,4653.182299,-4.73635E-07,0.093240564
0.686067182,1.749070749,0.116846505,-0.067084575,-0.089753922,4655.62921,-6.2324E-08,0.094970761
0.689287821,1.75085452,0.106728797,-0.069689281,-0.091530111,4658.161095,3.49141E-07,0.096619061
0.691621782,1.754934796,0.095696278,-0.07080053,-0.092646227,4660.621022,7.6076E-07,0.098184804
0.693069371,1.759966675,0.084110826,-0.070550997,-0.09313568,4662.933274,1.17253E-06,0.099667504
0.693539553,1.764851614,0.072431398,-0.070367345,-0.093141953,4665.086967,1.58446E-06,0.101066827
0.692227821,1.768997902,0.060997185,-0.070215967,-0.093200556,4667.110527,1.99654E-06,0.102382608
0.689418249,1.772226275,0.050046088,-0.06946184,-0.093175583,4669.045182,2.40878E-06,0.103614866
0.685473675,1.774574815,0.039644544,-0.068108131,-0.092865674,4670.928975,2.82118E-06,0.104763787
0.680593347,1.773894448,0.032412845,-0.066085853,-0.092181757,4672.140328,3.18431E-06,0.105829708
0.674880904,1.767999807,0.023151108,-0.063400243,-0.091141968,4673.514181,3.17839E-06,0.106813124
0.668398764,1.762965576,0.015017885,-0.060164851,-0.089689207,4675.338918,3.13244E-06,0.107714571
0.661196611,1.760945648,0.007051882,-0.056515787,-0.087795449,4677.370874,3.08648E-06,0.108534705
0.653321492,1.76152459,-0.000936274,-0.052569144,-0.085471096,4679.444831,3.0405E-06,0.10927433
0.644820082,1.76350807,-0.008702361,-0.048426045,-0.08275624,4681.467302,2.9945E-06,0.109934388
0.635738343,1.765822286,-0.015905599,-0.044187258,-0.079702597,4683.409222,2.94849E-06,0.110515952
0.626120456,1.767857821,-0.022288257,-0.03995681,-0.07635977,4685.28388,2.90246E-06,0.111020229
0.616008586,1.769439569,-0.027744467,-0.03583304,-0.072770209,4687.119894,2.85641E-06,0.111448548
0.605443953,1.770646023,-0.032300575,-0.031896511,-0.068970192,4688.942942,2.81034E-06,0.111802307
0.594468346,1.771639323,-0.036053961,-0.028202067,-0.064992745,4690.768487,2.76425E-06,0.11208302
0.58312846,1.770356219,-0.036534355,-0.024776581,-0.060872646,4691.955364,2.74967E-06,0.112292288
0.571461909,1.764586659,-0.038962335,-0.021576149,-0.056684903,4693.307739,2.82058E-06,0.112431799
0.559510587,1.760010576,-0.040232644,-0.018666111,-0.052425836,4695.091715,2.89866E-06,0.112503322
0.547322588,1.758429697,-0.041352829,-0.01607119,-0.048099949,4697.061903,2.97676E-06,0.112508696
0.534948211,1.759257401,-0.0425456,-0.013721947,-0.043729687,4699.063464,3.05489E-06,0.112449796
0.522436024,1.76128356,-0.043621928,-0.011554492,-0.039353678,4701.015248,3.13305E-06,0.112328524
0.509830837,1.763500363,-0.044321153,-0.009531538,-0.035015144,4702.896793,3.21124E-06,0.112146826
0.497173093,1.765381188,-0.044468085,-0.007629047,-0.030752826,4704.724931,3.28947E-06,0.111906666
0.484498912,1.766813562,-0.044022247,-0.005825118,-0.026598355,4706.527854,3.36772E-06,0.111610015
0.471841185,1.767906695,-0.043050259,-0.004095233,-0.02257717,4708.328751,3.446E-06,0.111258839
0.459230759,1.768825921,-0.041667875,-0.002415637,-0.018710407,4710.140236,3.52431E-06,0.110855107
0.446699971,1.766413618,-0.036157164,-0.000767861,-0.01501696,4711.004572,3.58596E-06,0.110400743
0.434268413,1.757316221,-0.03421839,0.000915222,-0.011557881,4712.117039,3.62689E-06,0.10989763
0.421960216,1.749973822,-0.03123953,0.002548831,-0.008312731,4713.874034,3.66707E-06,0.10934762
0.409803061,1.747066746,-0.028704225,0.004110996,-0.005263863,4715.911439,3.70727E-06,0.108752519
0.397824697,1.747719475,-0.026928597,0.005625364,-0.00241083,4717.99954,3.74748E-06,0.108114084
0.386050183,1.750132607,-0.025617521,0.007097988,0.00023082,4720.018089,3.78771E-06,0.107434023
0.374500547,1.752817084,-0.024360929,0.008527072,0.002641363,4721.936745,3.82796E-06,0.106714003
0.363192769,1.755005026,-0.022870996,0.00989484,0.004805614,4723.779927,3.86822E-06,0.105955633
0.352140018,1.756541535,-0.021054962,0.011178306,0.006715508,4725.58829,3.90849E-06,0.105160428
0.341352529,1.757593641,-0.018972944,0.0123603,0.008369051,4727.394762,3.94878E-06,0.104329861
0.330838249,1.758404551,-0.01675396,0.013430948,0.00976818,4729.216671,3.98961E-06,0.103465337
0.320604874,1.756984593,-0.011990201,0.014384118,0.01091782,4730.422676,4.03928E-06,0.102568193
0.310653836,1.75117685,-0.009797999,0.015237741,0.011803276,4731.800978,4.09412E-06,0.1016397
0.300989121,1.746590915,-0.007138957,0.015949545,0.012446967,4733.60928,4.14897E-06,0.10068106
0.29170535,1.744978566,-0.004981718,0.017703182,0.012961871,4735.603745,4.20385E-06,0.099693441
0.283527852,1.745735068,-0.003507002,0.019949232,0.013791769,4737.631337,4.25874E-06,0.098677877
0.276116378,1.747657144,-0.002493552,0.022025923,0.014734842,4739.612427,4.31366E-06,0.097635346
0.269171073,1.749753626,-0.001652537,0.023862818,0.015596151,4741.527139,4.36859E-06,0.096566759
0.26257436,1.751516889,-0.000780359,0.025259245,0.016298956,4743.391759,4.42355E-06,0.095472976
0.256274893,1.752847118,0.000195528,0.026102966,0.016812288,4745.233163,4.47853E-06,0.094354799
0.250249632,1.753857047,0.001246158,0.026355087,0.017125389,4747.073021,4.53352E-06,0.093212982
0.244484938,1.754708269,0.002297133,0.026034335,0.017234633,4748.922668,4.58666E-06,0.09204823
0.238971026,1.753361879,0.005793704,0.025203878,0.017139847,4750.153305,4.62211E-06,0.090861226
0.23369573,1.747647053,0.006689789,0.023966202,0.016827279,4751.548959,4.65546E-06,0.089652541
0.228650546,1.743117537,0.008027696,0.022396881,0.0163136,4753.367158,4.68883E-06,0.08842273
0.223826696,1.741506847,0.008858457,0.020599022,0.015611706,4755.36784,4.7222E-06,0.087172298
0.219215099,1.742225456,0.009007561,0.018678043,0.014737326,4757.400664,4.75559E-06,0.085901699
0.214804791,1.74409445,0.008699629,0.016732524,0.013702338,4759.387162,4.789E-06,0.084611337
0.21058229,1.746144061,0.008227465,0.014834877,0.012515464,4761.307364,4.82241E-06,0.083301567
0.206531936,1.747874918,0.007800835,0.013039403,0.011187629,4763.176834,4.85584E-06,0.081972697
0.202636135,1.749185211,0.007501638,0.011380883,0.009730988,4765.021705,4.88927E-06,0.080625024
0.198875795,1.750181459,0.007311225,0.009875662,0.008160409,4766.863212,4.92273E-06,0.079258729
0.19523193,1.747793593,0.010922513,0.008532102,0.006491409,4767.770261,4.96106E-06,0.07787399
0.19168061,1.738809676,0.010809806,0.007360623,0.004718401,4768.918777,5.00723E-06,0.07647095
0.188202196,1.731538105,0.011498763,0.006311538,0.002875745,4770.696578,5.05384E-06,0.07504972
0.184778186,1.728591591,0.011553744,0.005354532,0.000994427,4772.747504,5.10047E-06,0.073610386
0.181390943,1.729114318,0.010699943,0.004473448,-0.000903623,4774.847719,5.14711E-06,0.072153009
0.17802418,1.731363096,0.009264994,0.003653857,-0.002805344,4776.87969,5.19377E-06,0.070677638
0.174661752,1.733898834,0.007683934,0.002872831,-0.004702577,4778.812815,5.24045E-06,0.069184328
0.171288106,1.735976461,0.006271144,0.002111998,-0.006585852,4780.669493,5.28714E-06,0.067673114
0.167887786,1.737438207,0.005151469,0.001355077,-0.008445368,4782.488146,5.33386E-06,0.066144011
0.16444594,1.738435384,0.00429868,0.000589373,-0.010269236,4784.300277,5.38059E-06,0.064597053
0.160948636,1.739195107,0.00361538,-0.000184854,-0.01204524,4786.122847,5.42669E-06,0.063032287
0.157383788,1.737784496,0.005464242,-0.000968031,-0.013762835,4787.342415,5.4632E-06,0.061449766
0.153738256,1.732129261,0.004891205,-0.001739061,-0.015422573,4788.724706,5.49509E-06,0.059849559
0.150001357,1.727655215,0.004864977,-0.002513813,-0.017004815,4790.519442,5.527E-06,0.058231752
0.146164581,1.726035412,0.004461403,-0.003289805,-0.018492435,4792.491762,5.55891E-06,0.056596448
0.142221252,1.726688227,0.003517759,-0.004047369,-0.019875268,4794.495375,5.59084E-06,0.054943795
0.138165424,1.728467501,0.002257977,-0.004771938,-0.021149544,4796.453902,5.62277E-06,0.053273947
0.133991931,1.730431942,0.00096895,-0.005450455,-0.022313006,4798.34762,5.65472E-06,0.051587067
0.129695702,1.732094625,-0.000146108,-0.006072703,-0.023364859,4800.191279,5.68668E-06,0.049883363
0.125272106,1.733352286,-0.001010538,-0.006634461,-0.02430285,4802.010063,5.71865E-06,0.048163077
0.120717115,1.73430377,-0.001647053,-0.007126452,-0.025124723,4803.824668,5.75064E-06,0.046426479
0.116028288,1.733010891,0.000309042,-0.007546705,-0.025829151,4805.035571,5.78593E-06,0.044673871
0.111202067,1.727448333,-4.45387E-05,-0.007875453,-0.026423054,4806.405211,5.83169E-06,0.04290559
0.106236239,1.72300194,0.000202683,-0.008134353,-0.026898896,4808.183538,5.87835E-06,0.041122007
0.10113103,1.721347096,0.00011184,-0.008330729,-0.027251226,4810.140121,5.92503E-06,0.039323524
0.095879982,1.721992445,-0.000902049,-0.007308291,-0.027440044,4812.130352,5.97172E-06,0.037510614
0.090489809,1.723632926,-0.001598381,-0.008233283,-0.027573663,4814.078085,6.01843E-06,0.035683716
0.084965625,1.725481579,-0.002511675,-0.00825988,-0.027584516,4815.966338,6.06516E-06,0.033843318
0.079319111,1.727079507,-0.003338955,-0.008050172,-0.027486498,4817.807414,6.11191E-06,0.031989964
0.073555128,1.728323663,-0.003934006,-0.007820792,-0.027283119,4819.623866,6.15867E-06,0.030124217
0.067677791,1.729164077,-0.004132527,-0.007622498,-0.02697751,4821.396698,6.20545E-06,0.028246671
0.061691695,1.729320578,-0.003976458,-0.00745386,-0.026575725,4823.103909,6.25193E-06,0.026357947
0.055602835,1.72867008,-0.003665792,-0.007290114,-0.02608328,4824.782913,6.29158E-06,0.024458696
0.04941778,1.727507624,-0.003246136,-0.007106409,-0.025507883,4826.470771,6.32669E-06,0.022549599
0.043144039,1.726179033,-0.002809014,-0.006888022,-0.02485607,4828.179864,6.3618E-06,0.02063136
0.036789926,1.724910653,-0.002422997,-0.00661955,-0.024134778,4829.908402,6.39694E-06,0.018704733
0.030363449,1.723788221,-0.002113886,-0.006298631,-0.023352381,4831.648485,6.43208E-06,0.016770455
0.02387335,1.722799918,-0.001872896,-0.005922312,-0.022515541,4833.391995,6.46724E-06,0.014829282
0.017328213,1.721892695,-0.001674342,-0.005492629,-0.021632842,4835.133568,6.50241E-06,0.012882
0.010736519,1.721013284,-0.001491898,-0.005017674,-0.020711498,4836.871043,6.53759E-06,0.01092941
0.004107171,1.720126804,-0.001307999,-0.004499538,-0.019758743,4838.604549,6.57279E-06,0.008972323
-0.002551162,1.719218613,-0.00111601,-0.003949553,-0.018782473,4840.335284,6.608E-06,0.007011563
-0.009229442,1.718288309,-0.00091772,-0.003373837,-0.017788732,4842.064561,6.64196E-06,0.005047961
-0.015918932,1.717342377,-0.0007192,-0.002779664,-0.016785342,4843.793319,6.67167E-06,0.003082354
