Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle,driver_demands.brake
1.89913E-06,45.3961,-4.96705E-06,-3.82E-10,0,0,7.932E-08,0,0,0,0
3.31423E-06,45.39808291,-4.95895E-06,-4.725E-09,2.831719908,0.000485894,-3.74599E-05,-0.000487837,8.98718E-07,0.000703356,0
6.93087E-06,45.39712273,-4.90823E-06,-2.6044E-08,-2.377640875,-0.015780206,7.932E-08,-0.015782519,0.001046183,0.067958337,0
1.91297E-05,45.39348015,-4.58976E-06,-5.0379E-08,-1.923683784,-0.01276733,7.932E-08,-0.012769657,0.006284052,0.401213066,0
6.40609E-05,45.38910933,-3.16115E-06,5.988E-08,-1.469754981,-0.009754642,7.932E-08,-0.009757112,0.017206015,1.090489269,0
0.00019848,45.3854904,1.60823E-06,8.00755E-07,-1.015870391,-0.006742248,7.932E-08,-0.006745162,0.033331069,2.10964634,0
0.000505412,45.38299329,1.39151E-05,3.39458E-06,-0.562027478,-0.00373013,7.932E-08,-0.003734191,0.052701546,3.343705791,0
0.001044863,45.38125418,3.95991E-05,1.00729E-05,-0.108215087,-0.000718215,7.932E-08,-0.000724814,0.072459157,4.629681806,0
0.001795925,45.38057776,8.50116E-05,2.40078E-05,-0.345576819,-0.002293567,1.09646E-07,0.002282181,0.089534664,59.52110374,0
0.002632749,45.38653475,0.000155508,4.88817E-05,-0.799358035,-0.005305299,2.53624E-07,0.005286057,0.101474286,66.13078658,0
0.003336136,45.40071307,0.000254067,8.82979E-05,-1.253174519,-0.008317316,3.97614E-07,0.008286569,0.107372551,69.04633678,0
0.003640985,45.41971816,0.00038006,0.000145195,-1.707110262,-0.011330209,5.41641E-07,0.011284185,0.108857243,69.85195437,0
0.003307045,45.44019901,0.000529745,0.000221452,-2.161230284,-0.014344438,6.85726E-07,0.014279821,0.10927794,70.46026085,0
0.002186371,45.46010935,0.000697173,0.000317849,-2.615562383,-0.017360215,8.29879E-07,0.017274439,0.109351192,71.16365972,0
0.000233898,45.47869442,0.000874863,0.000434349,-3.07010687,-0.020377571,9.74099E-07,0.020268764,0.109114628,71.8796082,0
-0.002531942,45.49615012,0.001055969,0.000570427,-3.52485047,-0.023396448,1.11838E-06,0.023263107,0.108599052,72.58445729,0
-0.00606222,45.51305777,0.00123421,0.000725264,-3.979778278,-0.026416782,1.26272E-06,0.026257032,0.107828699,73.30037492,0
-0.010293315,45.5299104,0.001404135,0.000897874,-4.434880613,-0.029438542,1.40712E-06,0.029249493,0.106824355,74.0625306,0
-0.015157374,45.54693585,0.00156171,0.001087158,-4.89015402,-0.032461727,1.52885E-06,0.032238847,0.1056056,74.89329633,0
-0.020587291,45.56413801,0.001704412,0.001291944,-5.345598899,-0.035486361,1.35971E-06,0.035222806,0.104192055,75.02875321,0
-0.026515939,45.58136254,0.001831181,0.001510988,-5.80121672,-0.038512422,1.06084E-06,0.038198435,0.102603773,76.00644718,0
-0.032875544,45.59850692,0.001942277,0.001742961,-6.257007946,-0.041539856,7.61854E-07,0.041162213,0.100862431,77.03468406,0
-0.039598548,45.61557252,0.002039037,0.001986465,-6.712971625,-0.044568599,4.62755E-07,0.044110103,0.098990094,78.09714936,0
-0.046618184,45.63259649,0.002123568,0.002240053,-7.169106363,-0.047598573,1.63543E-07,0.047037651,0.097008279,79.19047303,0
-0.053869216,45.64961291,0.002198426,0.002502256,-7.625411036,-0.050629708,-1.35781E-07,0.049940149,0.094937644,80.31084471,0
-0.061288431,45.66664016,0.002266336,0.002771608,-8.08188492,-0.053661939,-4.35215E-07,0.052812766,0.092797792,81.45346986,0
-0.068814943,45.68368364,0.002329951,0.003046665,-8.538527587,-0.056695203,-7.3476E-07,0.055650668,0.09060721,82.61221848,0
-0.076389915,45.7007431,0.002391526,0.003326023,-8.995338754,-0.059729435,-1.03442E-06,0.058449116,0.088383225,83.77990951,0
-0.083958562,45.71781818,0.002453084,0.003608332,-9.452318229,-0.06276456,-1.33418E-06,0.061203572,0.086141969,84.94897342,0
-0.091467739,45.73491063,0.002516299,0.0038923,-9.909465838,-0.065800524,-1.61429E-06,0.063909691,0.083898624,86.11174573,0
-0.098867704,45.75201745,0.002582152,0.004176708,-10.36678149,-0.068837273,-1.66093E-06,0.066563392,0.081666955,86.74785181,0
-0.106112244,45.76909415,0.002651154,0.004460413,-10.82426511,-0.071874793,-1.62038E-06,0.069160954,0.079459693,87.88403064,0
-0.113158218,45.78613003,0.002723612,0.004742344,-11.28191637,-0.074913089,-1.57982E-06,0.07169896,0.077288809,88.99124401,0
-0.119965549,45.80315863,0.002799012,0.00502151,-11.73973465,-0.077952162,-1.53925E-06,0.074174229,0.075164997,90.05885262,0
-0.126498486,45.82021546,0.002876715,0.005297004,-12.19771969,-0.080992009,-1.49866E-06,0.076583949,0.073097733,91.08442576,0
-0.132724643,45.83732197,0.002955903,0.005567996,-12.65587157,-0.084032652,-1.45805E-06,0.078925553,0.071095484,92.06440656,0
-0.138615159,45.85448555,0.003035562,0.005833736,-13.11419069,-0.087074102,-1.41744E-06,0.081196704,0.069165757,92.99452775,0
-0.144144553,45.87170563,0.003114557,0.006093545,-13.57267766,-0.09011637,-1.3768E-06,0.083395306,0.067315277,93.87021652,0
-0.149290589,45.88897954,0.00319172,0.00634681,-14.03133311,-0.093159468,-1.33615E-06,0.085519474,0.065550142,94.68706544,0
-0.154034371,45.90630556,0.00326592,0.006592986,-14.49015766,-0.096203406,-1.29549E-06,0.08756751,0.063875534,95.44128037,0
-0.158360396,45.92368351,0.003336114,0.006831592,-14.94915202,-0.09924819,-1.2281E-06,0.089537891,0.062295739,96.12995122,0
-0.16225654,45.94110827,0.00340139,0.007062213,-15.40831682,-0.102293853,-8.84793E-07,0.091429286,0.060814141,96.24343178,0
-0.165713955,45.95853521,0.003460989,0.007284496,-15.86765269,-0.105340468,-4.73635E-07,0.093240564,0.059433261,96.80430365,0
-0.168726856,45.97594901,0.003514321,0.007498142,-16.32715999,-0.10838812,-6.2324E-08,0.094970761,0.058155105,97.29508344,0
-0.171292551,45.99337441,0.003560963,0.007702914,-16.78683881,-0.111436895,3.49141E-07,0.096619061,0.056980697,97.71245646,0
-0.17341152,46.01083887,0.003600657,0.007898639,-17.24668934,-0.11448688,7.6076E-07,0.098184804,0.055909878,98.06241817,0
-0.175087323,46.02835821,0.003633291,0.008085206,-17.70671208,-0.117538174,1.17253E-06,0.099667504,0.054941502,98.35055523,0
-0.176326516,46.0459354,0.003658884,0.008262565,-18.16690776,-0.120590864,1.58446E-06,0.101066827,0.053398117,98.58259233,0
-0.177142219,46.06356472,0.003677445,0.008430709,-18.6272772,-0.123645042,1.99654E-06,0.102382608,0.051944142,98.76472795,0
-0.177551699,46.08123656,0.003688996,0.008589634,-19.08782121,-0.126700798,2.40878E-06,0.103614866,0.050578854,98.90405873,0
-0.177567848,46.09894057,0.003693619,0.008739342,-19.54854048,-0.129758224,2.82118E-06,0.104763787,0.049302537,99.00902576,0
-0.177202269,46.11666121,0.003691451,0.008879863,-20.00943562,-0.132817408,3.18431E-06,0.105829708,0.048114356,98.5892117,0
-0.176466709,46.13434598,0.003682692,0.009011259,-20.47050716,-0.135878451,3.17839E-06,0.106813124,0.047012609,98.66527258,0
-0.175373818,46.1519742,0.00366761,0.009133633,-20.93175498,-0.138941342,3.13244E-06,0.107714571,0.045995175,98.73747997,0
-0.173937592,46.16956852,0.003646528,0.009247122,-21.39317882,-0.142006064,3.08648E-06,0.108534705,0.045059221,98.80301862,0
-0.172173572,46.1871582,0.003619808,0.009351911,-21.8547784,-0.145072607,3.0405E-06,0.10927433,0.044201021,98.86552257,0
-0.170098819,46.2047634,0.003587845,0.009448226,-22.31655373,-0.148140961,2.9945E-06,0.109934388,0.04341625,98.92727449,0
-0.167731735,46.22239243,0.003551049,0.009536332,-22.77850507,-0.151211119,2.94849E-06,0.110515952,0.042700164,98.98953684,0
-0.165091838,46.24004504,0.003509844,0.009616526,-23.24063286,-0.154283082,2.90246E-06,0.111020229,0.042047748,99.05270097,0
-0.162199551,46.25771721,0.003464651,0.009689137,-23.70293733,-0.157356857,2.85641E-06,0.111448548,0.041453796,99.11659206,0
-0.159076022,46.27540457,0.003415882,0.009754518,-24.16541892,-0.160432415,2.81034E-06,0.111802307,0.040912935,99.18083815,0
-0.155742956,46.29310408,0.003363927,0.009813042,-24.62807791,-0.163509751,2.76425E-06,0.11208302,0.040419652,99.24511534,0
-0.15222244,46.31080867,0.003309156,0.009865103,-25.09091451,-0.166588857,2.74967E-06,0.112292288,0.039968326,98.81208864,0
-0.148536749,46.32847455,0.003251911,0.009911106,-25.55392887,-0.169669732,2.82058E-06,0.112431799,0.039553281,98.88353962,0
-0.144708153,46.34608644,0.003192511,0.009951468,-26.01712081,-0.17275239,2.89866E-06,0.112503322,0.039169054,98.95312566,0
-0.140758807,46.36366832,0.003131245,0.009986609,-26.48048995,-0.175836859,2.97676E-06,0.112508696,0.038810119,99.01668259,0
-0.136710689,46.38124818,0.003068375,0.010016959,-26.94403572,-0.178923152,3.05489E-06,0.112449796,0.038470784,99.0777817,0
-0.132585501,46.39884403,0.003004133,0.010042951,-27.40775811,-0.182011275,3.13305E-06,0.112328524,0.038145347,99.13850775,0
-0.128404524,46.41646237,0.002938738,0.010065021,-27.87165723,-0.185101245,3.21124E-06,0.112146826,0.037828244,99.1999257,0
-0.124188453,46.43410197,0.002872391,0.0100836,-28.33573331,-0.188193081,3.28947E-06,0.111906666,0.037514139,99.26230086,0
-0.119957267,46.45175854,0.002805282,0.010099111,-28.79998659,-0.191286802,3.36772E-06,0.111610015,0.037197966,99.3254116,0
-0.115730114,46.46942798,0.002737593,0.010111967,-29.26441725,-0.194382427,3.446E-06,0.111258839,0.036874947,99.38889351,0
-0.111525224,46.48710765,0.002669494,0.010122569,-29.72902554,-0.197479992,3.52431E-06,0.110855107,0.036540588,99.45245399,0
-0.107359802,46.50478811,0.002601156,0.010131302,-30.19381133,-0.200579511,3.58596E-06,0.110400743,0.03619066,98.77643173,0
-0.103249957,46.5224045,0.002532742,0.010138532,-30.65877474,-0.203680986,3.62689E-06,0.10989763,0.035821289,98.85067134,0
-0.099210579,46.53993398,0.00246442,0.010144603,-31.12391533,-0.206784422,3.66707E-06,0.10934762,0.035429206,98.92239097,0
-0.095255318,46.55741213,0.002396354,0.01014984,-31.5892322,-0.209889824,3.70727E-06,0.108752519,0.035011355,98.98549165,0
-0.091396643,46.57488049,0.0023287,0.010154543,-32.0547246,-0.212997196,3.74748E-06,0.108114084,0.034564755,99.04512574,0
-0.087645867,46.59236572,0.002261609,0.010158998,-32.52039222,-0.216106546,3.78771E-06,0.107434023,0.034086651,99.10428734,0
-0.084013108,46.60987742,0.002195228,0.010163467,-32.98623521,-0.219217896,3.82796E-06,0.106714003,0.033574641,99.16449308,0
-0.080507232,46.62741382,0.002129701,0.010168189,-33.45225358,-0.222331265,3.86822E-06,0.105955633,0.033026741,99.22610533,0
-0.077135825,46.64496877,0.002065164,0.010173378,-33.91844766,-0.225446644,3.90849E-06,0.105160428,0.032441395,99.28879087,0
-0.073905179,46.66253641,0.002001744,0.010179224,-34.38481763,-0.228564044,3.94878E-06,0.104329861,0.031817421,99.35201887,0
-0.070820312,46.68011312,0.001939561,0.010185892,-34.8513636,-0.231683476,3.98961E-06,0.103465337,0.031153991,99.41536733,0
-0.067884984,46.69769199,0.001878721,0.01019352,-35.31808563,-0.234804949,4.03928E-06,0.102568193,0.030450628,98.98934967,0
-0.065101732,46.71523017,0.00181932,0.010202222,-35.78498372,-0.237928475,4.09412E-06,0.1016397,0.029707195,99.05945993,0
-0.062471872,46.73271313,0.001761442,0.010212085,-36.25205756,-0.241054066,4.14897E-06,0.10068106,0.028924006,99.12789585,0
-0.059995438,46.75016494,0.001705166,0.010223174,-36.71930667,-0.244181762,4.20385E-06,0.099693441,0.028752356,99.19075528,0
-0.057667796,46.76761338,0.001650669,0.010235542,-37.18673035,-0.247311544,4.25874E-06,0.098677877,0.028538305,99.25140716,0
-0.055482356,46.78507616,0.00159817,0.010249267,-37.65432853,-0.25044342,4.31366E-06,0.097635346,0.02827758,99.31179355,0
-0.053437726,46.80255962,0.001547872,0.010264438,-38.12210125,-0.253577405,4.36859E-06,0.096566759,0.027968309,99.37288903,0
-0.051533957,46.82006255,0.001499957,0.010281139,-38.59004869,-0.256713513,4.42355E-06,0.095472976,0.027609595,99.43492015,0
-0.049771183,46.83758086,0.001454564,0.010299438,-39.05817103,-0.259851758,4.47853E-06,0.094354799,0.027201115,99.49766524,0
-0.048149016,46.85511068,0.001411776,0.010319386,-39.52646843,-0.262992153,4.53352E-06,0.093212982,0.026742931,99.56077734,0
-0.046666306,46.87264962,0.00137162,0.010341013,-39.9949411,-0.266134718,4.58666E-06,0.09204823,0.026235451,99.62398142,0
-0.045321066,46.89019129,0.001334063,0.010364331,-40.4635889,-0.269279492,4.62211E-06,0.090861226,0.025679386,99.20051231,0
-0.044110444,46.90769315,0.001299024,0.010389331,-40.93241197,-0.272426454,4.65546E-06,0.089652541,0.025075751,99.27036468,0
-0.043030696,46.92514058,0.001266379,0.010415983,-41.40141005,-0.275575609,4.68883E-06,0.08842273,0.024425964,99.33864184,0
-0.042077212,46.94255716,0.001235972,0.010444238,-41.87058256,-0.278726964,4.7222E-06,0.087172298,0.02373164,99.40151772,0
-0.041244593,46.95997018,0.001207625,0.010474028,-42.33992908,-0.281880523,4.75559E-06,0.085901699,0.022994543,99.46224131,0
-0.040526726,46.97739708,0.001181146,0.010505268,-42.80944944,-0.285036294,4.789E-06,0.084611337,0.022216625,99.52267641,0
-0.03991686,46.99484417,0.001156342,0.010537858,-43.27914372,-0.288194285,4.82241E-06,0.083301567,0.021400041,99.58376084,0
-0.039407677,47.01231035,0.001133023,0.01057168,-43.74901222,-0.291354508,4.85584E-06,0.081972697,0.020547148,99.64571702,0
-0.038991352,47.02979167,0.00111101,0.010606605,-44.21905494,-0.294517008,4.88927E-06,0.080625024,0.019660497,99.70833692,0
-0.038659634,47.04728436,0.001090137,0.01064249,-44.68927217,-0.297681758,4.92273E-06,0.079258729,0.018742739,99.7712908,0
-0.038403913,47.0647779,0.001070254,0.010679178,-45.15966404,-0.300848769,4.96106E-06,0.07787399,0.017796658,99.10736972,0
-0.038215303,47.08220791,0.001051227,0.010716505,-45.63023059,-0.30401805,5.00723E-06,0.07647095,0.016825143,99.18016225,0
-0.038084665,47.09955187,0.001032938,0.010754296,-46.10097143,-0.30718961,5.05384E-06,0.07504972,0.015831296,99.25066301,0
-0.038002708,47.11684456,0.001015283,0.010792367,-46.57188571,-0.310363454,5.10047E-06,0.073610386,0.014818166,99.31322987,0
-0.037960133,47.13412651,0.000998166,0.010830532,-47.04297276,-0.313539591,5.14711E-06,0.072153009,0.013788656,99.37258464,0
-0.037947722,47.15142378,0.000981498,0.010868603,-47.51423229,-0.316718029,5.19377E-06,0.070677638,0.012745611,99.4314422,0
-0.037956392,47.16874592,0.000965197,0.01090639,-47.9856645,-0.319898799,5.24045E-06,0.069184328,0.011691852,99.49117774,0
-0.037977234,47.18609148,0.000949187,0.010943704,-48.45726945,-0.323081915,5.28714E-06,0.067673114,0.010630191,99.55212754,0
-0.038001544,47.20345471,0.000933389,0.010980359,-48.92904751,-0.326267373,5.33386E-06,0.066144011,0.009563411,99.61400139,0
-0.038020876,47.22083007,0.000917729,0.011016169,-49.40099893,-0.329455185,5.38059E-06,0.064597053,0.008494236,99.67632847,0
-0.038027082,47.23821408,0.00090213,0.011050954,-49.87312387,-0.332645363,5.42669E-06,0.063032287,0.007425329,99.73873102,0
-0.038012358,47.25559995,0.000886514,0.011084536,-50.34542245,-0.335837922,5.4632E-06,0.061449766,0.006359212,99.32404449,0
-0.037969283,47.27294618,0.000870805,0.011116745,-50.81789471,-0.339032869,5.49509E-06,0.059849559,0.005298315,99.39244901,0
-0.037890831,47.29023875,0.000854924,0.011147416,-51.29054044,-0.342230213,5.527E-06,0.058231752,0.004245027,99.45933289,0
-0.037770431,47.30750082,0.000838793,0.011176392,-51.76335911,-0.345429958,5.55891E-06,0.056596448,0.003201543,99.52112149,0
-0.037602024,47.32475904,0.000822337,0.011203525,-52.23635039,-0.348632127,5.59084E-06,0.054943795,0.002169782,99.58086539,0
-0.037380104,47.34203045,0.000805478,0.011228678,-52.70951399,-0.351836732,5.62277E-06,0.053273947,0.001151465,99.64029979,0
-0.037099725,47.35932128,0.000788146,0.011251724,-53.1828501,-0.35504376,5.65472E-06,0.051587067,0.000148162,99.70029931,0
-0.036756513,47.37663055,0.000770271,0.011272549,-53.65635891,-0.358253222,5.68668E-06,0.049883363,-0.000838697,99.76107759,0
-0.036346661,47.39395449,0.000751792,0.011291047,-54.13004065,-0.361465128,5.71865E-06,0.048163077,-0.001807824,99.82244993,0
-0.035866942,47.41128944,0.000732652,0.011307125,-54.6038955,-0.364679488,5.75064E-06,0.046426479,-0.002758086,99.88411657,0
-0.035314702,47.4286278,0.000712803,0.011320702,-55.07792361,-0.367896311,5.78593E-06,0.044673871,-0.003688509,99.47390166,0
-0.034687861,47.44592763,0.000692203,0.011331709,-55.55212506,-0.371115608,5.83169E-06,0.04290559,-0.004598273,99.54162201,0
-0.0339849,47.46317446,0.000670818,0.011340085,-56.02649962,-0.374337388,5.87835E-06,0.041122007,-0.005486659,99.60790276,0
-0.033204867,47.48039076,0.000648622,0.011345784,-56.50104678,-0.37756166,5.92503E-06,0.039323524,-0.006353136,99.66923277,0
-0.032347393,47.49760278,0.000625598,0.01134877,-56.97576619,-0.380788468,5.97172E-06,0.037510614,-0.007197378,99.72855547,0
-0.031412873,47.51482748,0.000601784,0.011349023,-57.45065758,-0.384017791,6.01843E-06,0.035683716,-0.008019214,99.78754923,0
-0.03040203,47.53207028,0.000577156,0.011346531,-57.92572111,-0.387249639,6.06516E-06,0.033843318,-0.008818646,99.84707032,0
-0.029315983,47.5493306,0.000551707,0.011341294,-58.40095698,-0.390484026,6.11191E-06,0.031989964,-0.00959561,99.90730966,0
-0.0281563,47.56660518,0.000525454,0.011333319,-58.87636537,-0.393720964,6.15867E-06,0.030124217,-0.010350253,99.96810784,0
