Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle_States.side_slip,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
1.64878E-06,39.1573,-4.9864E-06,-2.8E-10,4.2107E-08,0,0,0,0,0
2.94361E-06,39.15928027,-4.97887E-06,-4.269E-09,7.517E-08,2.837964755,0,0,-1.9494E-06,-1E-11
5.96172E-06,39.1581965,-4.9434E-06,-2.4496E-08,1.52247E-07,2.446378359,0,0,-1.96582E-06,-4.246E-09
1.04757E-05,39.15426073,-4.869E-06,-6.8624E-08,2.67549E-07,2.054789882,0,0,-2.03689E-06,6.8031E-08
1.62622E-05,39.14959517,-4.75383E-06,-1.40381E-07,4.15385E-07,1.663232048,0,0,-2.18476E-06,5.40709E-07
2.31232E-05,39.14587905,-4.60463E-06,-2.41286E-07,5.90692E-07,1.271721632,0,0,-2.41902E-06,1.88419E-06
3.09216E-05,39.14351877,-4.43421E-06,-3.71361E-07,7.89954E-07,0.880254818,0,0,-2.74075E-06,4.49586E-06
3.95722E-05,39.14202371,-4.25766E-06,-5.29311E-07,1.01099E-06,0.488818021,0,0,-3.14542E-06,8.47843E-06
4.90069E-05,39.14076544,-4.08941E-06,-7.12717E-07,1.25207E-06,0.097399485,0,0,-3.625E-06,1.35129E-05
5.91255E-05,39.1406752,-3.93972E-06,-9.18359E-07,1.51059E-06,-0.294006033,0,0,-4.1698E-06,1.8926E-05
6.92803E-05,39.15090284,-3.81025E-06,-1.13977E-06,1.76957E-06,-0.685406351,0,0,-4.77007E-06,2.39548E-05
7.85065E-05,39.17313423,-3.71087E-06,-1.36183E-06,2.00409E-06,-1.076870735,0,0,-5.4093E-06,2.79008E-05
8.67721E-05,39.20151677,-3.65509E-06,-1.5727E-06,2.21349E-06,-1.468525295,0,0,-6.04881E-06,3.08942E-05
9.39006E-05,39.23136665,-3.64527E-06,-1.76635E-06,2.39351E-06,-1.860458157,0,0,-6.65977E-06,3.33181E-05
9.98776E-05,39.25995118,-3.67494E-06,-1.93958E-06,2.54401E-06,-2.252701447,0,0,-7.22695E-06,3.52547E-05
0.000104799,39.28615241,-3.73466E-06,-2.09108E-06,2.66759E-06,-2.645250428,0,0,-7.74228E-06,3.67701E-05
0.00010881,39.31032191,-3.80915E-06,-2.22101E-06,2.76797E-06,-3.038081388,0,0,-8.20316E-06,3.79243E-05
0.000112059,39.33352714,-3.88724E-06,-2.33065E-06,2.84894E-06,-3.431168349,0,0,-8.61206E-06,3.87844E-05
0.000114668,39.35674474,-3.9614E-06,-2.4219E-06,2.91356E-06,-3.82449465,0,0,-8.97355E-06,3.94099E-05
0.000116728,39.38042652,-4.03088E-06,-2.49683E-06,2.9641E-06,-4.218055318,0,0,-9.29309E-06,3.98451E-05
0.000118309,39.40457059,-4.09077E-06,-2.55726E-06,3.00243E-06,-4.61185286,0,0,-9.57527E-06,4.01177E-05
0.000119466,39.42897836,-4.13998E-06,-2.6047E-06,3.0299E-06,-5.005891666,0,0,-9.82506E-06,4.02384E-05
0.00012024,39.45341987,-4.17932E-06,-2.6405E-06,3.04764E-06,-5.40017475,0,0,-1.00461E-05,4.02194E-05
0.000120674,39.47772736,-4.20985E-06,-2.66584E-06,3.05677E-06,-5.794702707,0,0,-1.02413E-05,4.00744E-05
0.000120814,39.50178124,-4.23243E-06,-2.68189E-06,3.05846E-06,-6.189473988,0,0,-1.04132E-05,3.98189E-05
0.000120708,39.52551187,-4.24771E-06,-2.68976E-06,3.05394E-06,-6.584485552,0,0,-1.05644E-05,3.94704E-05
0.000120405,39.54891064,-4.25631E-06,-2.6906E-06,3.04446E-06,-6.97973343,0,0,-1.06975E-05,3.90467E-05
0.000119949,39.57200751,-4.2589E-06,-2.68551E-06,3.03115E-06,-7.375213372,0,0,-1.08151E-05,3.85647E-05
0.000119381,39.59484223,-4.25567E-06,-2.67555E-06,3.01507E-06,-7.770921402,0,0,-1.09199E-05,3.80405E-05
0.000118739,39.61744363,-4.24725E-06,-2.66175E-06,2.99713E-06,-8.166854112,0,0,-1.10146E-05,3.74884E-05
0.000118052,39.63982369,-4.23433E-06,-2.64504E-06,2.97812E-06,-8.563008542,0,0,-1.11016E-05,3.69208E-05
0.000117348,39.66198287,-4.2176E-06,-2.62625E-06,2.9587E-06,-8.959382025,0,0,-1.11832E-05,3.63478E-05
0.000116647,39.68391901,-4.19823E-06,-2.60614E-06,2.93941E-06,-9.355972033,0,0,-1.12614E-05,3.57781E-05
0.000115966,39.70563355,-4.17675E-06,-2.58536E-06,2.92065E-06,-9.752776106,0,0,-1.13379E-05,3.52185E-05
0.000115318,39.72713345,-4.15374E-06,-2.56443E-06,2.90276E-06,-10.14979186,0,0,-1.14142E-05,3.4674E-05
0.000114713,39.74842999,-4.13021E-06,-2.5438E-06,2.88598E-06,-10.54701702,0,0,-1.14917E-05,3.41481E-05
0.000114156,39.76953671,-4.10719E-06,-2.52381E-06,2.87045E-06,-10.94444948,0,0,-1.15713E-05,3.36429E-05
0.000113649,39.79046778,-4.0853E-06,-2.50473E-06,2.8562E-06,-11.34208733,0,0,-1.16535E-05,3.31596E-05
0.000113192,39.81123752,-4.06517E-06,-2.4867E-06,2.84322E-06,-11.73992886,0,0,-1.17391E-05,3.2698E-05
0.000112781,39.83186053,-4.04744E-06,-2.46983E-06,2.83142E-06,-12.13797254,0,0,-1.18281E-05,3.22566E-05
0.000112409,39.85235172,-4.03268E-06,-2.45413E-06,2.82063E-06,-12.53621706,0,0,-1.19208E-05,3.18334E-05
0.000112068,39.87272613,-4.02134E-06,-2.43953E-06,2.81064E-06,-12.93466129,0,0,-1.20169E-05,3.1425E-05
0.000111748,39.89299873,-4.01367E-06,-2.42592E-06,2.80119E-06,-13.33330432,0,0,-1.21162E-05,3.10277E-05
0.000111437,39.91318419,-4.00983E-06,-2.41314E-06,2.79198E-06,-13.7321454,0,0,-1.22182E-05,3.0637E-05
0.000111121,39.93329671,-4.00984E-06,-2.40096E-06,2.78267E-06,-14.131184,0,0,-1.23225E-05,3.02481E-05
0.000110788,39.95334992,-4.01369E-06,-2.38915E-06,2.77293E-06,-14.53041975,0,0,-1.24285E-05,2.98559E-05
0.000110423,39.97335663,-4.02133E-06,-2.37744E-06,2.76242E-06,-14.92985243,0,0,-1.25353E-05,2.94556E-05
0.000110014,39.9933286,-4.03249E-06,-2.36556E-06,2.75081E-06,-15.329482,0,0,-1.26422E-05,2.90425E-05
0.000109547,40.01327623,-4.04671E-06,-2.35323E-06,2.73776E-06,-15.72930853,0,0,-1.27484E-05,2.86123E-05
0.000109009,40.03320806,-4.06333E-06,-2.34017E-06,2.72297E-06,-16.12933219,0,0,-1.28532E-05,2.81603E-05
0.00010839,40.05313033,-4.08183E-06,-2.32612E-06,2.70617E-06,-16.52955326,0,0,-1.29559E-05,2.76826E-05
0.00010768,40.07304644,-4.10161E-06,-2.31083E-06,2.6871E-06,-16.92997209,0,0,-1.30556E-05,2.7176E-05
